土地位置建物門牌,總價元,單價元平方公尺,車位移轉總面積平方公尺,車位總價元,countycode,鄉鎮市區,交易標的,緯度,經度,村里,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,車位類別,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號,date,.id,t_mean_24h_idw,t_min_idw,t_max_idw,daily_rain_idw,aqi_idw,count_anc_500m,count_clean_500m,count_cor_500m,count_cos_500m,count_uni_500m,count_fire_500m,count_gas_500m,count_inc_500m,count_lpg_500m,count_mall_500m,count_mart_500m,count_med_500m,count_nuc_500m,count_phar_500m,count_poli_500m,count_post_500m,count_simpmart_500m,count_temp_500m,count_died_500m,count_shop_500m,geometry,nearest_mrt_name,dist_to_mrt_meter,dist_to_rail_meter,dist_to_thsr_meter,house_age
臺北市信義區松德路２５巷５０號,26800000,256730,0,0,63000,信義區,房地(土地+建物),25.038062,121.577424,國業里,18.94,住,NA,NA,1130120,土地1建物1車位0,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,710225,104.39,3,2,2,有,無,NA,陽台外推；,RPUOMLTKKHJGFDA38DA,71.7,1.13,9.36,有,NA,2024/1/20,275,19.68969541,16.73390258,23.55983188,0,39.28533254,0,0,0,0,0,0,1,0,0,0,49,89,0,18,1,1,4,0,0,53,"c(308267.844572592, 2770117.6551216)",臺北捷運永春站_BL19,336.1193043,1237.576129,3472.655027,42
臺北市信義區松隆路１２號,45000000,349325,0,0,63000,信義區,房地(土地+建物),25.04310799,121.566674,興雅里,35.34,住,NA,NA,1130118,土地1建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,720606,128.82,0,0,0,無,無,NA,未登記建物；,RPQOMLLJKHJGFDA07DA,105.05,14.09,0,無,NA,2024/1/18,276,20.30575411,17.11190993,26.34121359,0,58.7624548,0,0,0,0,0,4,1,0,0,5,35,39,0,7,0,0,1,1,0,36,"c(307180.70355993, 2770671.99479525)",臺北捷運市政府站_BL18,304.1697251,1348.673658,4263.069456,41
臺北市信義區松隆路９巷１７號,12000000,83328,0,0,63000,信義區,房地(土地+建物),25.044203,121.566906,敦厚里,28.2,商,NA,NA,1130110,土地2建物1車位0,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,701222,144.01,4,2,2,有,無,NA,親友、員工、共有人或其他特殊關係間之交易；,RPSNMLQJKHJGFDA67DA,117.46,0,17.44,有,NA,2024/1/10,277,16.15993311,13.64707359,17.7225832,0,79.57590716,0,0,0,0,0,3,1,0,0,2,27,40,0,7,0,1,1,1,0,28,"c(307203.598836702, 2770793.38283769)",臺北捷運市政府站_BL18,417.8135752,1271.054581,4208.991483,43
臺北市信義區林口街１２２號,13500000,167660,0,0,63000,信義區,房地(土地+建物),25.039953,121.58053,大道里,38.5,住,NA,NA,1130104,土地1建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,620323,80.52,3,2,2,有,無,NA,親友、員工、共有人或其他特殊關係間之交易；,RPPOMLTKJHJGFDA77DA,80.52,0,0,無,NA,2024/1/4,278,15.92209789,13.18404327,17.45037449,0,68.38779123,0,0,0,0,0,0,1,0,0,0,52,86,0,20,1,1,3,1,0,55,"c(308580.379439459, 2770328.45416231)",臺北捷運永春站_BL19,421.3105587,1051.08914,3096.75155,51
臺北市信義區林口街１３１號,23900000,214465,0,0,63000,信義區,房地(土地+建物),25.04027298,121.580951,大道里,36.32,住,NA,NA,1130128,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,660418,111.44,3,2,2,有,無,NA,NA,RPPNMLNLKHJGFDA27DA,97.09,0,14.35,無,NA,2024/1/28,279,13.27652476,12.33192534,14.04583412,1.093202478,100.9803669,0,0,0,0,0,0,1,0,0,0,50,90,0,20,1,1,3,1,0,53,"c(308622.713045227, 2770364.07927053)",臺北捷運永春站_BL19,454.9389441,1027.034055,3042.3967,47
臺北市信義區永吉路２００巷８１弄１０號,31500000,212939,0,0,63000,信義區,房地(土地+建物),25.04323699,121.572914,五全里,50,住,NA,NA,1130101,土地1建物1車位0,全,三層,透天厝,住家用,加強磚造,520601,147.93,4,2,3,有,無,NA,頂樓加蓋；,RPWNMLQKKHJGFDA18DA,147.93,0,0,無,NA,2024/1/1,280,16.66132746,15.61326917,17.42858568,0,93.59536634,0,0,0,0,0,1,0,0,0,1,41,62,0,19,1,2,3,1,0,44,"c(307810.307982446, 2770688.93407772)",臺北捷運永春站_BL19,440.6517097,852.3848712,3656.664165,61
臺北市信義區永吉路２７８巷４８弄１７號,22320000,202357,0,0,63000,信義區,房地(土地+建物),25.04391961,121.573474,五全里,31.8,住,NA,NA,1130115,土地2建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,670112,110.3,4,2,2,有,無,NA,NA,RPPOMLPJLHJGFDA47DA,96.5,0,13.8,無,NA,2024/1/15,283,16.78112527,16.11617789,17.6015968,9.728082977,65.17474717,0,0,0,0,0,1,0,0,0,0,45,73,0,19,1,2,4,1,0,49,"c(307866.495532279, 2770764.78474302)",臺北捷運永春站_BL19,447.0787688,758.0766402,3579.72174,46
臺北市信義區永吉路５３號,22500000,284525,15.05,2000000,63000,信義區,房地(土地+建物)+車位,25.045863,121.569147,雅祥里,6.2,商,NA,NA,1130103,土地1建物1車位1,十一層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,960524,87.1,2,2,1,有,有,坡道機械,NA,RPTOMLNJJHJGFDA47DA,41,2.85,1.83,有,307,2024/1/3,285,15.6335514,13.53085782,17.50767414,11.18690136,60.33862122,1,0,0,0,0,1,0,0,0,0,28,29,0,6,0,1,2,3,0,30,"c(307428.9653272, 2770978.20283337)",臺北捷運市政府站_BL18,698.3441831,989.5990365,3946.367556,17
臺北市信義區福德街２１７號,15380000,211933,0,0,63000,信義區,房地(土地+建物),25.03839501,121.584769,中坡里,23.75,住,NA,NA,1130109,土地1建物1車位0,三層，陽臺,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,650113,72.57,3,1,1,有,無,NA,NA,RPRNMLOLJHJGFDA47DA,72.57,0,0,無,NA,2024/1/9,287,18.05710814,17.02608034,20.34054989,1.594937706,46.86155471,0,0,0,0,0,0,0,0,0,0,20,20,0,7,1,1,2,5,0,22,"c(309008.883347568, 2770157.72324625)",臺北捷運後山埤站_BL20,780.9407257,1367.162766,2830.195597,48
臺北市信義區福德街２２０號,16500000,209790,0,0,63000,信義區,房地(土地+建物),25.03846299,121.5845,中坡里,32.12,住,NA,NA,1130103,土地5建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,660318,78.65,3,2,1,有,無,NA,NA,RPVOMLLJKHJGFDA57DA,73.81,0,4.84,無,NA,2024/1/3,288,15.40348724,13.16249574,17.37077729,10.09092853,60.26929735,0,0,0,0,0,0,0,0,0,0,22,21,0,7,1,1,2,5,0,24,"c(308981.708004717, 2770165.13559922)",臺北捷運後山埤站_BL20,767.6703936,1347.636141,2847.640121,47
臺北市信義區福德街２５０號,23500000,215280,0,0,63000,信義區,房地(土地+建物),25.03875799,121.585329,中行里,24.95,住,NA,NA,1130104,土地1建物1車位0,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,771012,109.16,3,2,2,有,無,NA,其他增建；,RPQNMLQJKHJGFDA47DA,92.4,1.41,9.24,有,NA,2024/1/4,289,15.87074809,13.06462003,17.46893899,0,68.2069798,0,0,0,0,0,0,0,0,0,0,20,18,0,8,1,1,2,4,0,22,"c(309065.219718358, 2770198.17316708)",臺北捷運後山埤站_BL20,757.7938248,1360.908305,2760.852889,36
臺北市信義區福德街２６８巷５弄１７號,21000000,169875,0,0,63000,信義區,房地(土地+建物),25.03898401,121.585292,中行里,27.24,住,NA,NA,1130118,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,771012,123.62,6,0,3,有,無,NA,陽台外推；其他增建；,RPOOMLLJKHJGFDA86DA,99.19,0,12,無,NA,2024/1/18,290,20.06140938,16.54076755,25.92077996,0,59.01191437,0,0,0,0,0,0,0,0,0,0,21,20,0,8,1,1,2,4,0,23,"c(309061.381356659, 2770223.19217881)",臺北捷運後山埤站_BL20,732.8729874,1337.686735,2749.058604,36
臺北市信義區莊敬路２４３號,36000000,231616,0,0,63000,信義區,房地(土地+建物),25.029534,121.562468,景新里,27.27,商,NA,NA,1130116,土地1建物1車位0,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,710226,155.43,4,2,2,有,有,NA,其他增建:陽台增建其他增建；,RPRNMLKLKHJGFDA17DA,104.54,0,27.41,有,NA,2024/1/16,293,16.68005021,15.26156209,17.56596837,0,51.54909538,0,0,0,0,1,2,0,0,0,1,31,35,0,13,1,1,2,1,0,33,"c(306762.527495941, 2769166.69067725)",臺北捷運台北101/世貿站_R03,386.7196459,2698.730745,5010.248046,42
