土地位置建物門牌,總價元,單價元平方公尺,車位移轉總面積平方公尺,車位總價元,countycode,鄉鎮市區,交易標的,緯度,經度,村里,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,車位類別,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號,nomi_address,date,.id,t_mean_24h_idw,t_min_idw,t_max_idw,daily_rain_idw,aqi_idw,towncode,MASTER_UP_rate,BACHELOR_UP_rate,Sex_ratio,popdense,Dependency_ratio,Old_ratio,count_anc_500m,count_clean_500m,count_cor_500m,count_cos_500m,count_uni_500m,count_fire_500m,count_gas_500m,count_inc_500m,count_lpg_500m,count_mall_500m,count_mart_500m,count_med_500m,count_nuc_500m,count_phar_500m,count_poli_500m,count_post_500m,count_simpmart_500m,count_temp_500m,count_died_500m,count_shop_500m,geometry,nearest_mrt_name,dist_to_mrt_meter,dist_to_rail_meter,dist_to_thsr_meter,house_age
臺北市中山區新生北路二段４３號六樓之５,1622922,59101,0,0,63000,中山區,房地(土地+建物),25.05562402,121.527798,中原里,4.23,住,NA,NA,1131028,土地1建物1車位0,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,650722,27.46,1,1,1,有,有,NA,親友、員工、共有人或其他特殊關係間之交易；,RPUNMLSJJIJGFCA08EA,23.23,0,0,有,NA,"47號, 新生北路二段, 中原里, 中山區, 南西商圈, 臺北市, 104, 臺灣",2024/10/28,57,24.32277792,22.98672374,25.7,0.183282687,31.95833456,63000040031,0.158970825,0.53779003,83.52,28600.55,58.95669289,42.81496062,0,0,0,0,0,0,1,0,0,1,68,68,0,10,2,1,0,2,0,68,"c(121.527798018198, 25.0556240161209)",臺北捷運松江南京站_G15_O08,625.4338093,1514.496444,1402.437281,48
臺北市中山區新生北路二段６２巷１１號二樓之３,51780000,173421,76.64,0,63000,中山區,房地(土地+建物)+車位,25.05619298,121.526643,中山里,23.07,商,NA,NA,1131008,土地1建物1車位2,二層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000824,298.58,3,2,2,有,有,坡道平面,NA,RPWPMLOJKIJGFCA08DA,127.46,4.04,13.67,有,713,"11號, 新生北路二段62巷, 中山里, 中山區, 南西商圈, 臺北市, 104, 臺灣",2024/10/8,59,24.23121306,23.41692981,25.04942522,23.97486233,33.35888782,63000040006,0.149033893,0.516312955,72.8,41381.63,44.2588285,33.5165997,0,0,0,0,0,0,1,0,0,1,75,70,0,7,2,1,0,2,0,75,"c(121.526642991941, 25.0561929797084)",臺北捷運雙連站_R12,637.1581908,1462.876641,1356.8703,13
臺北市中山區新生北路二段７０之１號十樓之５,11500000,221922,0,0,63000,中山區,房地(土地+建物)+車位,25.05668198,121.527177,中山里,4.74,商,NA,NA,1131104,土地1建物1車位1,十層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,861115,51.82,1,1,1,有,有,升降機械,法定停車位需要定期抽籤,RPPNMLSLJIJGFCA77EA,29.56,0,3.36,有,128,"70號, 新生北路二段, 中山里, 中山區, 南西商圈, 臺北市, 104, 臺灣",2024/11/4,61,24.79656235,23.51443705,27.01788855,0,39.0191073,63000040006,0.149033893,0.516312955,72.8,41381.63,44.2588285,33.5165997,0,0,0,0,0,0,1,0,0,1,72,67,0,7,2,1,0,2,0,72,"c(121.527177002992, 25.0566819799397)",臺北捷運雙連站_R12,677.4306269,1539.089132,1433.257531,27
臺北市中山區松江路２７號十二樓,4500000,250139,0,0,63000,中山區,房地(土地+建物),25.04718201,121.533177,朱園里,1.56,商,NA,NA,1131008,土地1建物1車位0,十二層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,720805,17.99,1,0,0,有,有,NA,親友、員工、共有人或其他特殊關係間之交易；,RPRNMLQKIIJGFCA57EA,14.13,0,0,有,NA,"築間幸福鍋物, 27, 松江路, 朱園里, 中山區, 朱厝崙, 臺北市, 104, 臺灣",2024/10/8,66,24.18445743,23.29601789,25.00369277,27.21662901,34.7481337,63000040036,0.184835333,0.606586674,81.31,15988.19,55.33707863,37.53511235,1,0,0,0,0,2,1,0,0,0,29,38,0,5,0,2,0,0,0,29,"c(121.533177020742, 25.0471820146996)",臺北捷運忠孝新生站_BL14_O07,571.7822324,1763.169957,1634.845888,41
臺北市中山區松江路２８７、２８９、２９１、２９３號地下層,5200000,193237,0,0,63000,中山區,房地(土地+建物),25.06045698,121.533468,松江里,0.14,商,NA,NA,1131128,土地2建物1車位0,地下層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,590410,26.91,0,0,0,無,有,NA,NA,RPUNMLNJKIJGFCA57DA,26.91,0,0,有,NA,"屈臣氏, 錦州街, 松江里, 中山區, 下埤頭, 臺北市, 104077, 臺灣",2024/11/28,68,17.45207124,15.25926065,20.23899974,0,47.97928115,63000040021,0.145802377,0.551077266,87.26,31813,62.80729578,42.32090932,0,1,0,0,0,0,0,0,0,0,60,77,0,10,0,1,1,3,3,61,"c(121.53346804042, 25.0604569795823)",臺北捷運行天宮站_O09,44.88797828,2294.391066,2184.588328,54
臺北市中山區松江路８號十二樓之２１,5750000,200139,0,0,63000,中山區,房地(土地+建物),25.04645698,121.532689,興亞里,2.45,商,NA,NA,1131011,土地1建物1車位0,十二層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,661102,28.73,0,0,0,無,有,NA,其他增建；,RPOPMLSJJIJGFCA57DA,19.78,0,3.15,有,NA,"8之1號, 松江路, 興亞里, 中山區, 朱厝崙, 臺北市, 104, 臺灣",2024/10/11,72,24.41755712,22.68621689,26.41827757,0,46.17357604,63000040032,0.176772867,0.593216855,81.24,22112.88,57.92964243,40.28258361,1,0,0,0,0,2,1,0,0,0,28,39,0,5,0,2,0,0,0,28,"c(121.532689026339, 25.046456980075)",臺北捷運忠孝新生站_BL14_O07,493.6625634,1717.587265,1590.401563,47
臺北市中山區林森北路２８９號九樓之１,17500000,240385,0,0,63000,中山區,房地(土地+建物),25.05560499,121.52558,中山里,5.61,商,NA,NA,1131015,土地2建物1車位0,九層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,660121,72.8,3,2,1,有,有,NA,其他增建；,RPOOMLLLJIJGFCA96DA,68.04,0,0,有,610,"291號, 林森北路, 中山里, 中山區, 南西商圈, 臺北市, 104, 臺灣",2024/10/15,76,27.91534692,26.04053882,31.79249396,0,26.16323905,63000040006,0.149033893,0.516312955,72.8,41381.63,44.2588285,33.5165997,0,0,0,0,0,0,1,0,0,1,81,75,0,9,2,0,0,2,0,81,"c(121.52557999898, 25.0556049892006)",臺北捷運雙連站_R12,559.49366,1339.384838,1234.831196,47
臺北市中山區林森北路２８９號六樓之１１,15880000,237263,0,0,63000,中山區,房地(土地+建物),25.05560499,121.52558,中山里,5.19,商,NA,NA,1131124,土地2建物1車位0,六層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,660121,66.93,3,2,1,有,有,NA,陽臺外推；其他增建；,RPUOMLQLJIJGFCA08DA,53.31,0,4.81,有,171,"291號, 林森北路, 中山里, 中山區, 南西商圈, 臺北市, 104, 臺灣",2024/11/24,77,21.20439903,19.53602944,22.43695989,0,32.86429513,63000040006,0.149033893,0.516312955,72.8,41381.63,44.2588285,33.5165997,0,0,0,0,0,0,1,0,0,1,81,75,0,9,2,0,0,2,0,81,"c(121.52557999898, 25.0556049892006)",臺北捷運雙連站_R12,559.49366,1339.384838,1234.831196,47
臺北市中山區林森北路４８１號二樓,12350000,221621,19.78,1300000,63000,中山區,房地(土地+建物)+車位,25.061093,121.52601,聚葉里,5.49,商,NA,NA,1131013,土地1建物1車位1,二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,920122,69.64,1,1,1,有,有,坡道機械,陽臺外推；其他增建；,RPSOMLLLJIJGFCA37DA,25.78,0,5.08,有,NA,"481號, 林森北路, 聚葉里, 中山區, 南西商圈, 臺北市, 104, 臺灣",2024/10/13,82,27.97679361,25.32868488,31.20168292,0,31.85224305,63000040009,0.12142655,0.497594113,78.67,30022.78,49.94188297,36.88492831,0,0,0,0,0,0,0,0,0,0,65,77,0,12,1,3,0,3,0,65,"c(121.526009990613, 25.0610929983953)",臺北捷運中山國小站_O10,201.8479658,1827.642346,1743.56648,21
臺北市中山區林森北路５７５號六樓之１４,10700000,256226,0,0,63000,中山區,房地(土地+建物),25.06507801,121.525813,晴光里,4.45,商,NA,NA,1131018,土地1建物1車位0,六層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,660322,41.76,1,1,1,有,有,NA,NA,RPVOMLPLIIJGFCA97DA,34.43,0,0,有,306,"575號, 林森北路, 晴光里, 中山區, 雙連, 臺北市, 104, 臺灣",2024/10/18,84,28.94806326,26.04226931,33.49053669,0,41.71409836,63000040011,0.144424496,0.533213645,71.44,50707.91,51.24079628,36.70575401,0,0,0,0,1,0,0,0,0,0,42,47,0,13,0,1,1,3,0,43,"c(121.525813015888, 25.0650780066219)",臺北捷運中山國小站_O10,269.6481026,2195.726813,2124.055302,47
