土地位置建物門牌,總價元,單價元平方公尺,車位移轉總面積平方公尺,車位總價元,countycode,鄉鎮市區,交易標的,緯度,經度,村里,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,車位類別,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號,date,.id,t_mean_24h_idw,t_min_idw,t_max_idw,daily_rain_idw,aqi_idw,towncode,MASTER_UP_rate,BACHELOR_UP_rate,Sex_ratio,popdense,Dependency_ratio,Old_ratio,count_anc_500m,count_clean_500m,count_cor_500m,count_cos_500m,count_uni_500m,count_fire_500m,count_gas_500m,count_inc_500m,count_lpg_500m,count_mall_500m,count_mart_500m,count_med_500m,count_nuc_500m,count_phar_500m,count_poli_500m,count_post_500m,count_simpmart_500m,count_temp_500m,count_died_500m,count_shop_500m,geometry,nearest_mrt_name,dist_to_mrt_meter,dist_to_rail_meter,dist_to_thsr_meter,house_age
臺北市士林區文昌路１４９號七樓,6000000,45830,0,0,63000,士林區,房地(土地+建物),25.097507,121.52044,福佳里,21.2,住,NA,NA,1130413,土地1建物1車位0,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,691001,130.91,2,1,1,有,無,NA,親友、員工、共有人或其他特殊關係間之交易；,RPRNMLRJNHJGFEA08DA,97.39,0,18.25,有,NA,2024/4/13,866,26.72370216,23.83402276,30.28203821,0,85.65346004,63000110007,0.144581905,0.526606052,90.44,14635.56,52.47684252,34.97784937,0,0,0,0,0,0,0,0,0,0,27,31,0,7,0,1,0,0,1,27,"c(121.520439964496, 25.0975070032745)",臺北捷運芝山站_R17,557.8753308,5557.227339,5531.276342,44
臺北市士林區文昌路１６９巷２９號四樓,14200000,189865,0,0,63000,士林區,房地(土地+建物),25.09782602,121.519231,福佳里,25,住,NA,NA,1130411,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,621226,74.79,3,2,1,有,無,NA,NA,RPPNMLTLNHJGFEA38EA,71.81,2.98,0,無,NA,2024/4/11,867,24.64953897,21.22394488,28.39565246,0,63.71279578,63000110007,0.144581905,0.526606052,90.44,14635.56,52.47684252,34.97784937,0,0,0,0,0,0,0,0,0,0,16,10,0,7,0,1,0,0,0,16,"c(121.519230958782, 25.0978260185094)",臺北捷運芝山站_R17,588.0830204,5583.343233,5560.235748,51
臺北市士林區文林路一段７４０巷９弄１號三樓,11500000,138437,0,0,63000,士林區,房地(土地+建物),25.10338699,121.520609,德華里,33.5,住,NA,NA,1130406,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,640110,83.07,3,2,2,有,無,NA,親友、員工、共有人或其他特殊關係間之交易；,RPVNMLQKNHJGFEA58EA,83.07,0,0,無,NA,2024/4/6,868,22.50610338,20.09823874,26.68345983,0.660593225,42.50121985,63000110028,0.142677033,0.532044547,85.71,18683.18,56.98005696,36.8091168,0,0,0,0,0,0,0,0,0,1,15,22,0,3,0,1,0,1,0,15,"c(121.520609027483, 25.1033869921711)",臺北捷運芝山站_R17,249.9743657,6207.714887,6182.411539,49
臺北市士林區文林路７６３號六樓之９,28900000,205723,0,0,63000,士林區,房地(土地+建物),25.10319132,121.519026,德華里,16.12,住,NA,NA,1130402,土地1建物1車位0,六層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,700204,140.48,4,1,2,有,有,NA,陽台外推；其他增建；,RPRNMLQLMHJGFEA08DA,98.8,0,22.27,有,576,2024/4/2,869,27.1055898,22.43215172,32.57196358,0,61.27101331,63000110028,0.142677033,0.532044547,85.71,18683.18,56.98005696,36.8091168,0,0,0,0,0,0,0,0,0,0,12,20,0,3,0,1,0,1,0,12,"c(121.519026021249, 25.1031913166415)",臺北捷運芝山站_R17,385.2530151,6175.395736,6153.360465,43
臺北市士林區文林路７６５號六樓之９,26000000,203347,0,0,63000,士林區,房地(土地+建物),25.1032924,121.5189652,德華里,14.81,住,NA,NA,1130412,土地1建物1車位0,六層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,700204,127.86,4,1,4,有,有,NA,陽台外推；其他增建；,RPTOMLTLMHJGFEA68DA,93.86,0,15.73,有,NA,2024/4/12,870,25.59918735,22.40991923,28.66868226,0,82.66911692,63000110028,0.142677033,0.532044547,85.71,18683.18,56.98005696,36.8091168,0,0,0,0,0,0,0,0,0,0,12,20,0,3,0,1,0,1,0,12,"c(121.518965168632, 25.1032924023938)",臺北捷運芝山站_R17,394.6382708,6186.247069,6164.349055,43
臺北市士林區格致路２１０號四樓,12000000,79671,0,0,63000,士林區,房地(土地+建物),25.14254599,121.549571,陽明里,26.87,住,NA,NA,1130403,土地4建物1車位0,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,670531,150.62,4,2,2,有,有,NA,NA,RPQNMLNKNHJGFEA77EA,101.52,0,15.89,有,NA,2024/4/3,871,24.87510464,22.59733919,28.9873238,0,82.2298318,63000110046,0.136181088,0.47754655,97.14,1323.1,55.96330272,45.54776036,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,"c(121.549571017525, 25.1425459865213)",臺北捷運石牌站_R19,4616.859632,10735.39905,11011.17381,46
臺北市士林區社中街２７５之１號四樓,14780000,159870,0,0,63000,士林區,房地(土地+建物),25.09180098,121.506615,社園里,28.5,住,NA,NA,1130415,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,691215,92.45,3,2,2,有,無,NA,NA,RPTNMLTLMHJGFEA58DA,79.17,0,13.28,無,NA,2024/4/15,872,27.97398338,25.79191265,32.12403249,0,66.83845119,63000110021,0.07325828,0.368412465,97.55,34491.88,49.63798977,31.28194207,1,0,0,0,0,0,0,0,0,0,21,16,0,9,1,1,2,1,0,23,"c(121.506615021036, 25.0918009807783)",臺北捷運士林站_R16,1945.766897,4989.679043,4998.912979,44
臺北市士林區社中街８４號三樓,13000000,191176,0,0,63000,士林區,房地(土地+建物),25.08914999,121.510666,社子里,30,商,NA,NA,1130415,土地1建物1車位0,三層,三層,公寓(5樓含以下無電梯),住家用,加強磚造,600419,68,3,1,1,有,無,NA,NA,RPTNMLNLMHJGFEA97DA,68,0,0,無,NA,2024/4/15,873,27.94127666,25.69044657,32.24861193,0,67.32670179,63000110019,0.085652331,0.379653054,95.01,17001.83,47.61131724,30.70500927,0,0,0,0,0,0,1,0,0,0,16,25,0,9,0,1,2,0,0,18,"c(121.510665994841, 25.0891499943515)",臺北捷運士林站_R16,1575.477785,4638.963366,4638.596875,53
臺北市士林區社子街２５巷３弄５號四樓,10964700,140663,0,0,63000,士林區,房地(土地+建物),25.08829318,121.5080343,社新里,34.5,住,NA,NA,1130408,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,610606,77.95,3,1,1,有,無,NA,NA,RPUNMLKLNHJGFEA87DA,77.95,0,0,無,NA,2024/4/8,874,22.67046751,19.69430821,24.21490506,13.00831953,40.85551139,63000110020,0.069164635,0.363788015,97.14,21203.28,47.15679676,31.46029609,0,0,0,0,0,0,0,0,0,0,26,27,0,11,1,1,3,1,0,29,"c(121.508034251412, 25.0882931787052)",臺北捷運劍潭站_R15,1830.995842,4581.957656,4589.383604,52
臺北市士林區福德路３１巷１１號七樓之１１,9500000,285800,0,0,63000,士林區,房地(土地+建物),25.09175899,121.524003,福德里,6.86,商,NA,NA,1130410,土地1建物1車位0,七層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1010112,33.24,1,1,1,有,有,NA,NA,RPWPNLPLMHJGFEA78DA,16.41,0.91,3.48,有,285,2024/4/10,875,22.63882328,20.69843653,23.97866478,1.765071869,62.39532491,63000110004,0.123771314,0.450150451,106.16,18544.68,51.74923032,41.19787292,0,1,0,0,0,1,1,0,0,0,49,68,0,11,2,2,0,3,1,49,"c(121.524003027717, 25.0917589874434)",臺北捷運士林站_R16,200.2237099,4970.949719,4934.660316,12
