土地位置建物門牌,總價元,單價元平方公尺,車位移轉總面積平方公尺,車位總價元,countycode,鄉鎮市區,交易標的,緯度,經度,村里,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,車位類別,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號,date,.id,t_mean_24h_idw,t_min_idw,t_max_idw,daily_rain_idw,aqi_idw,towncode,MASTER_UP_rate,BACHELOR_UP_rate,Sex_ratio,popdense,Dependency_ratio,Old_ratio,count_anc_500m,count_clean_500m,count_cor_500m,count_cos_500m,count_uni_500m,count_fire_500m,count_gas_500m,count_inc_500m,count_lpg_500m,count_mall_500m,count_mart_500m,count_med_500m,count_nuc_500m,count_phar_500m,count_poli_500m,count_post_500m,count_simpmart_500m,count_temp_500m,count_died_500m,count_shop_500m,geometry,nearest_mrt_name,dist_to_mrt_meter,dist_to_rail_meter,dist_to_thsr_meter,house_age,,
臺北市中山區基湖路１５１巷３５號,12500000,191395,26.72,0,63000,中山區,房地(土地+建物)+車位,25.07748498,121.564793,金泰里,15.68,住,NA,NA,1120703,土地1建物1車位1,五層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,930630,65.31,0,0,0,無,有,坡道平面,NA,RPQOMLKKQHIGFCA47DA,21.15,0,2.54,有,NA,2023/7/3,34,30.3612265,27.09873276,34.82248353,0,32.22785891,63000040041,0.185761637,0.594610174,91.54,7338.63,40.59525869,20.07267693,0,0,0,0,0,0,1,0,0,0,12,5,0,0,1,0,0,1,0,12,"c(121.564792972787, 25.0774849835213)",臺北捷運西湖站_BR16,566.0653285,3413.16515,5043.020628,19,,
臺北市中山區基湖路１５７巷３號,143800000,476042,96.52,6000000,63000,中山區,房地(土地+建物)+車位,25.07678669,121.5636534,金泰里,112.17,住,NA,NA,1120701,土地1建物1車位2,六層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,900227,385.99,7,2,5,有,有,坡道平面,陽台加窗、空調機房劃為室內面積使用其他增建；,RPXPMLOJPHIGFCA48DA,188.14,0,25.35,有,NA,2023/7/1,35,29.35629438,26.51435391,32.21160862,0.412664594,31.71344865,63000040041,0.185761637,0.594610174,91.54,7338.63,40.59525869,20.07267693,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,1,0,6,"c(121.563653369231, 25.0767866871677)",臺北捷運西湖站_BR16,693.2255271,3390.632208,5101.81459,22,,
臺北市中山區大直街５２巷４號,17014250,266639,0,0,63000,中山區,房地(土地+建物),25.08241099,121.545961,大直里,18.3,住,NA,NA,1120718,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,760710,63.8,3,2,2,有,無,NA,總價金為55萬美元以簽約日之匯率計價台幣實價登錄親友、員工、共有人或其他特殊關係間之交易；,RPSNMLOJQHIGFCA87DA,56.08,0,6.26,無,NA,2023/7/18,37,29.39854294,27.49320628,33.24496122,9.91001796,38.4174551,63000040014,0.185735513,0.607456437,87.57,13392.04,63.96783843,38.42557965,0,0,0,0,1,0,0,0,0,0,20,36,0,10,1,3,0,2,1,20,"c(121.545961015646, 25.082410986108)",臺北捷運大直站_BR14,328.3395208,4912.253076,4832.709531,36,,
臺北市中山區天祥路１６巷１５號,10000000,217675,0,0,63000,中山區,房地(土地+建物),25.06133498,121.520499,集英里,8.87,商,NA,NA,1120724,土地1建物1車位0,七層，走廊,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,600108,45.94,1,1,1,有,有,NA,親友、員工、共有人或其他特殊關係間之交易；,RPUPMLMLQHIGFCA28DA,39.95,0,0,有,NA,2023/7/24,39,30.89381069,27.28959964,34.4711846,0,26.19852602,63000040008,0.12927883,0.514955135,80.54,19971.22,54.24403182,33.02387267,0,0,0,0,0,0,0,0,0,0,54,76,0,8,0,2,0,9,0,54,"c(121.520498973094, 25.0613349839399)",臺北捷運民權西路站_O11_R13,173.5017869,1604.590564,1554.615313,52,,
臺北市中山區天祥路４８巷５號,2500000,242483,0,0,63000,中山區,房地(土地+建物),25.06193898,121.520665,集英里,6.54,住,NA,NA,1120720,土地2建物1車位0,一層,三層,公寓(5樓含以下無電梯),住家用,加強磚造,561112,10.31,2,1,1,有,無,NA,親友、員工、共有人或其他特殊關係間之交易；,RPQNMLLMPHIGFCA67EA,10.31,0,0,無,NA,2023/7/20,40,29.32655667,26.96326519,34.35442312,28.91458958,43.47794917,63000040008,0.12927883,0.514955135,80.54,19971.22,54.24403182,33.02387267,1,0,0,0,0,0,0,0,0,0,55,68,0,7,0,3,0,7,0,55,"c(121.520665018596, 25.0619389838828)",臺北捷運民權西路站_O11_R13,140.4879538,1673.437279,1623.576265,56,,
臺北市中山區安東街１９號,17300000,276844,0,0,63000,中山區,房地(土地+建物),25.04517099,121.542384,埤頭里,12.56,住,NA,NA,1120808,土地1建物1車位0,二層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,700905,62.49,3,1,1,有,有,NA,陽台外推；其他增建；,RPOPMLSKQHIGFCA18DA,40.21,0,6.76,有,146,2023/8/8,41,30.98114216,29.53465852,34.1268748,0,43.03081094,63000040037,0.146684988,0.51734799,92,17806.88,51.01751062,37.76620916,0,0,0,0,0,2,1,0,0,5,46,97,0,20,1,2,1,2,0,47,"c(121.542384038466, 25.0451709865803)",臺北捷運南京復興站_BR11_G16,780.0870551,2704.389703,2577.910371,42,,
臺北市中山區建國北路三段７４號,14100000,203816,0,0,63000,中山區,房地(土地+建物),25.06556701,121.535877,行政里,10.04,住,NA,NA,1120704,土地2建物1車位0,九層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,750411,69.18,2,1,1,有,有,NA,NA,RPRPMLRJPHIGFCA18DA,59.2,1.32,4.55,有,NA,2023/7/4,45,31.13989031,26.96000428,35.80614306,0,27.99484019,63000040024,0.084996192,0.396953542,104.76,39530.96,50.36247334,39.97867803,0,1,0,0,0,1,1,0,0,0,34,25,0,5,1,1,2,3,3,36,"c(121.535876999393, 25.0655670068532)",臺北捷運行天宮站_O09,636.1168301,2852.477566,2750.210587,37,,
臺北市中山區建國北路二段３５號,2500000,75143,0,0,63000,中山區,房地(土地+建物),25.05529301,121.537265,朱馥里,3.57,住,NA,NA,1120718,土地5建物1車位0,二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,770524,33.27,0,0,1,有,有,NA,親友、員工、共有人或其他特殊關係間之交易；,RPTNMLLJQHIGFCA77EA,18.66,0.28,5.77,有,NA,2023/7/18,47,29.21297861,27.55845069,33.21055446,8.764097812,37.04478457,63000040034,0.12900641,0.500200321,84.58,31361.42,51.92410474,33.40459646,1,1,0,0,0,0,0,0,0,0,53,41,0,10,1,1,0,1,0,53,"c(121.53726495874, 25.0552930147645)",臺北捷運松江南京站_G15_O08,548.042143,2339.31334,2213.736389,35,,
臺北市中山區復興南路一段３４號,28950000,251041,0,0,63000,中山區,房地(土地+建物),25.04629102,121.543684,埤頭里,12.72,商,NA,NA,1120706,土地3建物1車位0,九層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,690310,115.32,2,2,1,有,有,NA,NA,RPROMLRLPHIGFCA28DA,97.79,0,0,有,NA,2023/7/6,50,32.2758687,28.34691096,36.04816981,0,31.10107637,63000040037,0.146684988,0.51734799,92,17806.88,51.01751062,37.76620916,0,0,0,0,0,2,2,0,0,1,44,74,0,20,2,2,0,4,0,44,"c(121.54368398783, 25.0462910183921)",臺北捷運南京復興站_BR11_G16,638.1119645,2826.27368,2698.492629,43,,
臺北市中山區德惠街１６號,7600000,193483,0,0,63000,中山區,房地(土地+建物),25.06659999,121.524068,晴光里,3.8,商,NA,NA,1120731,土地1建物1車位0,八層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,710419,39.28,1,1,1,有,有,NA,陽台外推；其他增建；,RPPNMLQJQHIGFCA77DA,28.02,0,3.02,有,NA,2023/7/31,51,29.28556754,26.71832702,31.80841905,0,25.41792458,63000040011,0.143032034,0.515405019,73.13,49418.72,48.32601535,34.49506036,0,0,0,0,1,0,0,0,0,0,31,34,0,10,0,1,0,2,0,31,"c(121.524067987466, 25.0665999926005)",臺北捷運中山國小站_O10,500.1614891,2275.356554,2215.281392,41,,
臺北市中山區德惠街１８１號,10000000,170300,0,0,63000,中山區,房地(土地+建物),25.06666499,121.532232,新喜里,23.25,住,NA,NA,1120720,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,610905,58.72,2,1,1,有,無,NA,親友、員工、共有人或其他特殊關係間之交易；,RPOOMLOLQHIGFCA77DA,58.72,0,0,無,NA,2023/7/20,52,29.4546524,26.97970022,34.3177281,26.81513636,39.1335758,63000040018,0.101929625,0.451986379,87.16,44405.84,46.54391789,32.96106247,1,1,0,0,0,2,1,0,0,0,38,27,0,6,1,1,2,3,0,40,"c(121.532231961159, 25.0666649942597)",臺北捷運行天宮站_O09,693.4611108,2697.397541,2606.480674,51,,
臺北市中山區德惠街３２號,12000000,160793,0,0,63000,中山區,房地(土地+建物),25.06658201,121.526014,晴光里,9.3,商,NA,NA,1120707,土地1建物1車位0,三層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,660606,74.63,2,2,2,有,有,NA,NA,RPXOMLOJQHIGFCA48DA,62.02,0,0,有,583,2023/7/7,53,32.77865466,29.25547891,36.65364664,0,43.03527816,63000040011,0.143032034,0.515405019,73.13,49418.72,48.32601535,34.49506036,1,0,0,0,1,1,0,0,0,0,39,28,0,12,0,1,1,3,0,40,"c(121.526014013927, 25.0665820134182)",臺北捷運中山國小站_O10,425.9927127,2353.433501,2284.3724,46,,
