土地位置建物門牌,緯度,經度,actual_price,xgboost_qmean,xgboost_q0.1,xgboost_q0.25,xgboost_q0.5,xgboost_q0.75,xgboost_q0.9,rf_qmean,rf_q0.1,rf_q0.25,rf_q0.5,rf_q0.75,rf_q0.9,lgb_qmean,lgb_q0.1,lgb_q0.25,lgb_q0.5,lgb_q0.75,lgb_q0.9,nn_qmean,nn_q0.1,nn_q0.25,nn_q0.5,nn_q0.75,nn_q0.9
臺北市內湖區康樂街１８６巷３４之１號八樓之１,25.0772499968657,121.620389968911,25500000.000000000,21686292.0,19630048.0,21627470.0,24227162.0,26358044.0,28681542.0,23684679.00942350,17651198.253623100,24479795.750790200,25500000.000000000,26033066.21820150,28285650.930542500,24330579.830466300,17542323.30817030,23009468.76189880,23986621.095904700,26131478.12362440,30113815.38011620,25506144.0,20461484.0,21972202.0,24905604.0,27220270.0,28496308.0
臺北市中正區晉江街７２巷３號二樓,25.0235900166554,121.52354998585,22800000.0,24723668.0,19216800.0,21946066.0,22786024.0,25312964.0,26259740.0,22679736.648904300,18664235.332326200,22800000.0,22800000.0,24283481.104197500,26023413.96726770,22756662.183751900,20186170.847574700,22303113.802086100,22573531.73411690,25364941.922639000,26718957.726957000,25151308.0,19487170.0,22511884.0,24403164.0,28101856.0,30941064.0
臺北市萬華區西寧南路８２巷７之１號,25.04241502,121.505497,2130000.0,11860372.0,8459243.0,9887547.0,11770476.0,14246054.0,16056697.0,6911462.372317810,2130000.0,2130000.0,3781640.636469980,12411062.23144080,15907693.710521200,11157628.399221500,7109554.741519000,11134156.273083300,12180074.938168500,14633430.096382700,16270565.178566400,8661054.0,6884304.5,9711908.0,12257815.0,13532395.0,15449824.0
臺北市北投區珠海路１１６號,25.14202099,121.506187,16680000.000000000,17346998.0,13806932.0,15185628.0,15798568.0,17838758.0,21411860.0,15311400.425778800,10800627.095395900,16680000.000000000,16680000.000000000,17257026.46028150,18421586.17243690,15343257.771137200,13758470.571065400,15594968.521049200,15920571.760194500,17122322.492165100,20019162.19575850,17750614.0,11741327.0,13512020.0,16616582.0,19051586.0,22559208.0
臺北市中山區新生北路三段１號,25.06288702,121.527991,7049999.999999990,7195875.0,6260392.0,6699813.0,7049013.0,7452523.0,7610237.0,6702230.906010230,5114083.4888375800,7049999.999999980,7049999.999999990,7280612.906223350,7933073.2304399500,7171075.540326060,6277344.626457950,6409287.64892633,7047783.998325900,7466171.395500540,7811946.130759490,8815957.0,5316704.0,7057677.0,7566361.0,8778028.0,10519238.0
臺北市南港區興南街６４巷４弄３號,25.055888,121.601623,6680240.000000000,9697969.0,6586783.5,8455670.0,12434946.0,14186103.0,15256145.0,9458851.863831340,4916902.846470110,6680240.000000000,6680240.000000000,10668583.595215400,15950243.312354400,9442464.586438270,6433950.747908850,8760288.155757360,11197361.331414200,13563567.227904700,14084525.08542130,10476169.0,6278658.5,9112345.0,11782876.0,13538901.0,15471350.0
臺北市萬華區成都路１３９號,25.04350601,121.503248,28999999.999999900,36848840.0,28209260.0,28526816.0,32429050.0,37455260.0,42431770.0,31236379.055060600,24347016.45472260,28999999.999999900,28999999.999999900,32541557.5934116,38208660.80099080,33622803.24428440,27728423.991253500,28841318.906432800,32911809.997465000,37274769.05929750,39343153.49931620,30602354.0,24972960.0,30712988.0,35292224.0,40023760.0,45896484.0
臺北市中山區林森北路２６３號十樓之１,25.0546499970624,121.525559966231,5750000.000000000,6777398.5,5731659.5,5847092.5,5969761.0,7216478.0,7909878.5,6163524.221989750,5417161.275351420,5750000.000000000,5750000.000000000,6059453.742340810,7038369.693440520,6871769.55312947,5741143.434635690,5743139.144789490,6171695.9241863000,7142284.131797770,7508747.493374200,6710549.5,4803356.5,5270064.5,6681723.5,7293248.0,8511893.0
臺北市士林區天母東路８巷８２號二樓,25.1149199880263,121.530479975757,23200000.00000000,18811680.0,15913096.0,21151266.0,23192402.0,23681970.0,25092994.0,21259414.905509600,19775450.456317900,22024985.81157390,23080810.42323760,23200000.00000000,23940400.253868900,18808654.07941360,16646795.93654100,20137846.428496000,23360513.19172550,23671302.92670180,24767829.16846590,21287740.0,16930746.0,19031756.0,21429020.0,23976028.0,25576638.0
臺北市松山區南京東路四段２１號,25.05192001,121.550331,37779999.99999990,34157696.0,26214252.0,33450738.0,37440476.0,37682988.0,40166616.0,35494668.30617540,31661635.356561100,36700000.000000000,37735761.40530430,37779999.99999990,39856065.22309280,35742600.99224290,29343885.40695120,33596214.1586688,37813446.38567520,38482457.08899480,41105003.49562560,38387760.0,26481150.0,32945388.0,36333850.0,38515372.0,42875148.0
臺北市文山區忠順街一段２６巷３０弄１號,24.982364,121.559469,18500000.000000000,18500932.0,14919915.0,17706420.0,18492394.0,22084256.0,22244012.0,18545530.46237490,14673631.712607700,18500000.000000000,18500000.000000000,19742459.512278500,21857576.16022420,17969837.589272200,16094967.156248200,18488451.47284950,18594147.998307400,21555775.698813600,22631089.46824720,18280682.0,15279326.0,16405930.0,19062418.0,20816794.0,21596636.0
臺北市信義區忠孝東路五段３７２巷２７弄１６號二樓,25.0394600187612,121.574380026001,25500000.000000000,25863718.0,20416186.0,23189084.0,25249508.0,27307112.0,27584348.0,24648279.52020330,20890703.53622320,25180000.0,25500000.000000000,25746339.320914600,27658093.09781730,24397397.71313790,20471933.385793100,23206237.027488000,24636536.63269250,25440642.499070100,27683016.69895370,23589104.0,20106142.0,23518392.0,25667488.0,27192196.0,29542476.0
臺北市大安區通化街２００巷３０號五樓,25.0270999805197,121.551960027568,26000000.000000000,29874870.0,24692044.0,26614930.0,28813906.0,33742816.0,33965132.0,29471148.73427310,24580002.963072700,26000000.000000000,26000000.000000000,30356352.609263300,37303944.054066,27507964.840273400,24866487.52779520,25991148.288878500,26339832.52344440,33875943.149305600,34454141.216018400,25184864.0,20602310.0,25823890.0,27961560.0,29991338.0,33588190.0
臺北市中正區杭州南路一段２５號,25.04209998,121.526461,41800000.0,30336302.0,23294856.0,29966008.0,32519296.0,36659980.0,39579356.0,33346864.129604900,24021309.405715100,33500000.0,41800000.0,41800000.0,42912767.45075750,33377668.869414700,25166621.34373660,28551389.02352990,33722409.36165740,36365307.791150600,38086090.313531500,34845948.0,25366710.0,26981048.0,33026234.0,37173068.0,46648960.0
臺北市北投區泉源路３９之５５號五樓,25.14122001,121.50614,5100000.000000000,6800434.5,5074251.0,5346541.0,6436029.5,8388155.5,10440801.0,5716532.9954013700,4506375.122836980,5100000.000000000,5100000.000000000,5904246.327446980,6927945.573622020,6474383.283540710,5109532.24026935,5438564.785462150,6303339.31856765,8104825.519888140,9505291.663895090,6442410.0,4738485.0,5526637.0,5530396.0,7487316.0,9362145.0
臺北市北投區致遠一路二段７０巷３號三樓,25.11257,121.51407,3600000.0000000000,7812099.0,5094548.0,6456365.5,7760609.5,9427963.0,10559584.0,5665039.483603480,3472475.522018990,3600000.0000000000,3600000.0000000000,8332061.8405973,10542574.404573400,8049658.344581100,4753601.019728690,6583699.057545700,7732351.7051043900,9417062.40608812,10321253.197205800,5637865.5,3635163.5,4748328.5,8076363.0,9338746.0,10941908.0
臺北市萬華區雙和街１１０號二樓,25.0277399807366,121.500909962459,5500000.000000000,4632206.5,3567104.5,4594537.0,5404392.0,5488897.0,6383922.0,5490557.508952570,4682197.730274200,5500000.000000000,5500000.000000000,5754935.630104050,6267219.47740642,4744481.3562268900,3721217.4699590900,4834005.03425451,5295261.118542550,5538711.782310500,6073744.966692670,5472453.5,2691769.8,3935965.5,5178182.0,5944667.0,7031087.0
臺北市文山區辛亥路五段７４號三樓,24.9990200181487,121.553489976355,13100000.000000000,11301069.0,8644517.0,9251978.0,12309946.0,12931433.0,13774763.0,12910573.774800100,10473134.201180900,13100000.000000000,13100000.000000000,13645969.77918480,14780886.308969900,11070676.488050000,8771248.005644780,10667608.18832050,12312859.184507800,13047844.534129900,13397519.814339400,13025226.0,8032449.0,10783370.0,12723158.0,13370606.0,14601369.0
臺北市中山區南京東路二段１０８號五樓之２,25.05179998,121.53207,13800000.000000000,20167556.0,14837305.0,15462205.0,16315403.0,20033372.0,22965876.0,16037516.944057400,13087212.78443120,13800000.000000000,13800000.000000000,17799499.58504320,21305967.15308500,19458837.938530300,13563082.844496800,14659376.224344900,16690723.573506800,18598433.456040200,22301841.82393320,14906660.0,13083366.0,14420472.0,15668568.0,17859356.0,21638982.0
臺北市大同區迪化街二段２９６巷５號三樓,25.07137998,121.51174,14880000.0,12080926.0,8987821.0,12579966.0,13657508.0,15081368.0,15676280.0,14296866.813274400,11376275.621346400,14880000.0,14880000.0,15612370.919258500,16571731.30389620,12202201.382685500,8717095.215382940,12405537.633053900,13973435.056525000,14878633.3529801,15445985.190839500,12412056.0,7403799.0,11142023.0,13217405.0,14271374.0,15777037.0
臺北市大安區瑞安街２２２巷６８號,25.02844,121.538463,51500000.00000000,62751490.0,47375076.0,50153096.0,54542320.0,87845990.0,96640540.0,62506781.50945720,48140419.6099198,51500000.00000000,51500000.00000000,76473814.58612400,95538349.18762090,66028235.39445660,44273924.74564650,55060284.58875660,60935104.725012000,78497602.7748851,98524049.13117210,61542692.0,44233452.0,54832084.0,65807910.0,75059730.0,85735460.0
臺北市文山區木新路二段１０６號,24.98493301,121.570105,22325000.00000000,17353848.0,14503582.0,19008574.0,20619410.0,22508492.0,23872536.0,19062213.2731256,13015894.02830400,20399754.90050040,22325000.00000000,22325000.00000000,23101677.29276580,15726886.299837100,15495802.11630210,18358527.487211600,19781029.51364980,22119915.835959300,22269576.221976500,17455996.0,14586004.0,15283727.0,19933510.0,21099328.0,22192650.0
臺北市中山區龍江路３９４巷２０號五樓,25.0671200058735,121.540299962061,16330000.0,13167306.0,10501296.0,12730367.0,15982114.0,16498501.0,16571006.0,14555426.568029600,14257997.145070100,16330000.0,16330000.0,16659629.602731500,17115976.44519410,13641333.425601400,10826348.375822400,13264654.078988800,16197552.565793800,16351406.930530300,16406899.75791830,14806038.0,11187082.0,13465478.0,14641528.0,16391604.0,17886594.0
臺北市松山區南京東路三段３０３巷１４弄６號六樓之１,25.0532700005236,121.547330031892,17000000.000000000,19131442.0,16657263.0,16676782.0,19488136.0,20920642.0,21088586.0,18686225.043011500,16394114.4990179,17000000.000000000,17000000.000000000,19619631.83547970,21541392.96545360,18781553.601861300,15427471.071824200,17023049.44377120,19878220.814903300,21210605.29802840,22586517.45957990,19519384.0,15900020.0,18723192.0,20367724.0,21955738.0,25046134.0
臺北市士林區延平北路八段９６巷４５號,25.10663402,121.483208,6250000.000000010,3403008.2,4966666.5,6091535.0,7518943.0,8042536.5,12980312.0,5793682.271362100,647299.2016782210,6250000.000000010,6250000.000000010,7484142.420111790,8878445.601964520,4635416.431270360,4698498.936890610,6078012.132881880,7002701.187498390,7246207.982255410,12207097.396972700,5395915.5,3246851.0,3839454.0,6550369.0,7466964.5,8798612.0
臺北市信義區松山路１１５號三樓,25.0476099946758,121.577949962382,20800000.000000000,18729156.0,13394318.0,15144439.0,20320616.0,21295660.0,25507750.0,26505680.50099460,17617661.35968660,20800000.000000000,20800000.000000000,40782477.40448720,66907573.30289910,19720514.015128500,13346815.969029500,15845680.467715900,20807303.111811300,20936600.471987700,22992556.54806510,19526868.0,14597860.0,18457016.0,19998020.0,22705332.0,24941636.0
臺北市萬華區昆明街４６號七樓之２,25.0464299903467,121.50571002695,10500000.000000000,9135682.0,6839406.0,9237096.0,10119861.0,11441809.0,12626890.0,10158747.798570700,8464666.471697490,10500000.000000000,10500000.000000000,10891373.670842300,11779184.409126700,8442615.386367840,7845183.397904170,9118056.172329270,10000416.343423600,11101914.059211800,12129646.486197500,10391570.0,7454214.5,9151168.0,10542015.0,11247288.0,11947537.0
臺北市士林區磺溪街２１巷１６號,25.10626701,121.522501,22580000.00000000,21979412.0,19712478.0,22058198.0,23016264.0,25512664.0,27573300.0,23135210.543661200,19834350.41764480,22580000.00000000,22580000.00000000,23015454.88713630,26915655.121737100,20657980.18550500,20069121.55192200,22306876.32518170,23486776.802938100,26000508.46264980,26455021.65562170,21425790.0,17312688.0,20372658.0,22493644.0,23882600.0,25860414.0
臺北市松山區復興北路４２７巷２５號,25.063394,121.546364,12580000.000000000,12718038.0,11280674.0,11894376.0,12579102.0,13477400.0,14183181.0,12916987.89717110,11610687.924166100,12580000.000000000,12580000.000000000,12973025.80306850,14118700.084773300,13113024.698468200,12277675.871466100,12610392.874287200,12620401.798813400,13981487.941786300,14821280.18069190,13465196.0,10795924.0,11866663.0,12917136.0,14482408.0,16106173.0
臺北市信義區光復南路４５１之１號十二樓,25.0346599961792,121.557789976503,20200000.000000000,21765564.0,16668196.0,20016414.0,21617612.0,25089548.0,27576404.0,21003461.94191220,16460257.11107520,20200000.000000000,20200000.000000000,22235545.289284900,24310362.67467560,21771364.52775680,18013112.501108600,20848200.873481800,22309376.645291400,24857596.09833570,27116740.296728000,20679472.0,16154722.0,17982922.0,20559364.0,22538866.0,24309694.0
