土地位置建物門牌,緯度,經度,actual_price,xgboost_qmean,xgboost_q0.1,xgboost_q0.25,xgboost_q0.5,xgboost_q0.75,xgboost_q0.9,rf_qmean,rf_q0.1,rf_q0.25,rf_q0.5,rf_q0.75,rf_q0.9,lgb_qmean,lgb_q0.1,lgb_q0.25,lgb_q0.5,lgb_q0.75,lgb_q0.9,nn_qmean,nn_q0.1,nn_q0.25,nn_q0.5,nn_q0.75,nn_q0.9,Ensemble_qmean,Ensemble_q0.1,Ensemble_q0.25,Ensemble_q0.5,Ensemble_q0.75,Ensemble_q0.9
臺北市文山區指南路三段２４巷３號二樓,24.98327901,121.579363,12899999.999999998,12679140.0,8256345.0,12745163.0,14622662.0,18082080.0,21973082.0,13019154.319339674,8813125.870047463,10896891.261335673,12974927.559305089,13236990.26625801,21856916.078972902,11488858.710319256,6460668.042993512,12798770.273675738,12861232.342169425,16440616.27949271,20852319.3940285,12765599.0,5851281.5,11993795.0,13348081.0,16351104.0,20574860.0,12488188.007414732,7345355.103260244,12108654.883752853,13451725.725368628,16027697.63643768,21314294.36825035
臺北市內湖區康寧路三段２１９巷４號二樓,25.06797001,121.61219,18800000.0,17865284.0,12008262.0,16523159.0,18108104.0,21825552.0,26285398.0,18081728.66025301,16177712.559003998,16391933.3249977,18364188.56430491,19972426.27224254,22216929.8345509,17895591.019857906,12887172.64668101,16483605.012711678,17782291.184014123,21774513.13380941,25907196.499583904,19219074.0,12964625.0,16319604.0,20078014.0,23740084.0,28823800.0,18265419.42002773,13509443.051421251,16429575.334427346,18583149.437079757,21828143.851512987,25808331.0835337
臺北市文山區萬美街二段２巷１號八樓之２,25.00352258,121.5629436,17379999.999999993,20857650.0,12251107.0,17276864.0,21940124.0,25146080.0,28214588.0,20109530.784060866,9702929.06020484,16604715.69399236,19885021.81609817,20299143.707548738,23842778.812325586,18441162.640341632,12297058.780474246,16449886.727495285,20117007.335695565,24171037.370667987,28694753.31271006,22043142.0,14614492.0,20116730.0,21820348.0,26504040.0,29574726.0,20362871.356100626,12216396.710169772,17612049.10537191,20940625.287948433,24030075.269554183,27581711.53125891
臺北市文山區興隆路三段２０７巷１５弄６號,24.995077,121.562402,9700000.000000007,16787748.0,11516052.0,15160854.0,17484118.0,19473830.0,22601416.0,16593904.583559535,10181229.09510236,13617597.937147267,16730935.013445891,17225329.279640656,19480451.740632057,16311738.290701568,12219878.709559651,14842700.831028163,15216742.678250534,20069314.42052963,23218238.13388492,17250818.0,12350962.0,15319946.0,17015370.0,21208874.0,22816380.0,16736052.218565276,11567030.451165503,14735274.692043858,16611791.422924107,19494336.925042573,22029121.468629245
臺北市士林區文昌路１６９巷２９號四樓,25.09782602,121.519231,14200000.000000004,13501045.0,11106568.0,11685228.0,13703903.0,14619594.0,16038669.0,14541875.687002026,11972652.352382174,13238596.064234868,14623449.55660232,15878859.50757664,18121687.192808896,12954968.32617974,10437030.701020624,11331963.842531262,13804563.221944496,14676417.215526188,17263715.162942603,12821552.0,9242101.0,12694240.0,13399966.0,16406681.0,17985804.0,13454860.25329544,10689588.0133507,12237506.976691533,13882970.444636704,15395387.930775708,17352468.838937875
臺北市萬華區康定路１０５號,25.0392682,121.5020232,20000000.00000001,25679974.0,19803980.0,19898524.0,22460718.0,34423300.0,51646720.0,23232559.678631134,16580734.638203591,20084855.306398503,20380000.00000003,21956220.630720243,28500000.000000037,25180672.897599105,19837041.84482917,20730594.7418896,21129838.04800383,32364948.19775217,38309955.854969,29050256.0,18993462.0,22178474.0,28515064.0,43115344.0,50941430.0,25785865.64405756,18803804.62075819,20723112.012072027,23121405.012000963,32964953.2071181,42349526.463742256
臺北市松山區撫遠街３９５巷３５號四樓,25.06553901,121.567618,17299999.99999997,15801732.0,11592436.0,14595160.0,16927324.0,17611000.0,19797560.0,16010893.918838138,14741998.528700007,15355128.540549831,15828190.750431458,17356436.65412092,19130730.961728863,15801538.56144536,11895583.610174648,13940070.180730265,17281680.701877646,17320625.576765858,19728231.62230251,14164419.0,10028667.0,13848604.0,15322460.0,18496698.0,20432352.0,15444645.870070875,12064671.284718664,14434740.680320024,16339913.863077275,17696190.057721697,19772218.646007843
臺北市大安區復興南路二段９０巷１２號二樓,25.03021968,121.5423855,19380000.000000007,16417355.0,11866890.0,15341848.0,18819288.0,21078452.0,21816978.0,18349191.53508296,16095581.385188997,17722991.83045465,18617898.532148432,19380000.000000007,21020561.365931157,16743281.832336329,12400272.423080511,14831190.078161044,19079130.656074725,19537110.99686051,23255666.005987145,16472686.0,8985473.0,13357733.0,18075978.0,21334404.0,24895344.0,16995628.591854822,12337054.202067377,15313440.727153923,18648073.79705579,20332491.74921513,22747137.342979573
臺北市中山區林森北路５８７號十二樓之６,25.06602499,121.525833,30499999.999999948,29138546.0,23051894.0,27429104.0,30488978.0,31558124.0,33535318.0,29489447.818093024,24776673.08749894,27052758.413288034,28409383.71766665,30499999.999999948,33277735.768143974,29089757.037059773,22946818.613978747,28334910.645248886,30272421.80581604,31217652.86646343,38412203.123386376,28900760.0,20073418.0,23402764.0,27524748.0,34782400.0,38681310.0,29154627.7137882,22712200.925369423,26554884.26463423,29173882.88087067,32014544.216615845,35976641.722882584
臺北市中正區重慶南路三段１６１號六樓之５,25.02267999,121.517009,10879999.99999998,13855632.0,9146719.0,10957697.0,14830486.0,16451836.0,16806778.0,14221294.328193674,10771095.23168168,12585637.201414904,14682031.874880526,15300000.000000017,17999999.999999985,12745653.643153813,8448563.03643564,11269362.44580054,13027457.19220168,15549648.761889756,19133267.48014297,15942838.0,9399755.0,12685260.0,15705610.0,19203354.0,20456646.0,14191354.49283687,9441533.06702933,11874489.16180386,14561396.266770551,16626209.690472443,18599172.870035738
