土地位置建物門牌,緯度,經度,actual_price,xgboost_qmean,xgboost_q0.1,xgboost_q0.25,xgboost_q0.5,xgboost_q0.75,xgboost_q0.9,rf_qmean,rf_q0.1,rf_q0.25,rf_q0.5,rf_q0.75,rf_q0.9,lgb_qmean,lgb_q0.1,lgb_q0.25,lgb_q0.5,lgb_q0.75,lgb_q0.9,nn_qmean,nn_q0.1,nn_q0.25,nn_q0.5,nn_q0.75,nn_q0.9,Ensemble_qmean,Ensemble_q0.1,Ensemble_q0.25,Ensemble_q0.5,Ensemble_q0.75,Ensemble_q0.9
臺北市中山區民權東路二段９２巷３號二樓,25.060949,121.531803,16000000.000000026,14504080.0,9057588.0,12580446.0,13454516.0,15353997.0,17589784.0,14540685.672334217,11165098.804049827,12978571.465776138,15994774.558394607,16711987.619595096,18129070.60600236,13593693.784155602,10521772.22798502,11127708.902558282,14139771.816112984,15808108.220480036,16007096.14183687,15789711.0,13047306.0,13182409.0,16100214.0,17199368.0,18882570.0,14607042.614122454,10947941.258008711,12467283.842083605,14922319.093626898,16268365.210018784,17652130.186959807
臺北市中山區復興南路一段４０號十二樓之１,25.04536599,121.543601,22999999.99999997,21202766.0,12418900.0,17078612.0,22817600.0,24021850.0,25013528.0,19710359.09694156,13960373.207808902,16872542.528902378,22062289.03985763,23149514.033797145,24041053.23426205,22170757.977891803,14317842.412509724,17286523.118033156,23065177.759770155,23852075.92187565,25498012.932094425,24492742.0,18527028.0,19363346.0,23878592.0,24773608.0,29535378.0,21894156.26870834,14806035.905079657,17650255.911733884,22955914.699906945,23949261.9889182,26021993.04158912
臺北市文山區指南路三段５７號七樓之３,24.983449,121.580086,12799999.999999978,14469928.0,12973951.0,13830390.0,14616360.0,15497666.0,18464726.0,14557383.171089066,11592332.507912563,12969226.953623855,13025894.654559582,16464405.650815446,20194722.780159004,15130662.705593308,12966727.85589864,13228447.830674224,14854041.806317642,15382896.058887444,16581963.74363814,15665132.0,11718506.0,13276224.0,13825089.0,16414287.0,20767380.0,14955776.469170595,12312879.3409528,13326072.19607452,14080346.365219306,15939813.677425724,19002198.130949285
臺北市北投區幽雅路７號十一樓之１,25.13729598,121.513111,13000000.000000011,12375770.0,10425379.0,10798168.0,12955331.0,13000332.0,16777632.0,12895241.716842588,10133432.344448538,11753886.462412892,13000000.000000011,13641548.867134782,14701399.584562944,11589882.888900232,10016349.968736973,10493856.82525157,12994008.063529553,13490033.598387336,15355408.336526046,12758516.0,9084354.0,10286051.0,12052800.0,14047490.0,16213094.0,12404852.651435705,9914878.828296378,10832990.571916116,12750534.765882391,13544851.11638053,15761883.480272247
臺北市中山區敬業三路１６２巷１１９號,25.07954702,121.559489,30000000.00000005,31909238.0,22545272.0,26262796.0,32975376.0,35006428.0,37175692.0,29485759.28662192,25065899.641479947,28510541.59324054,30021006.930249795,31882255.741768066,33227076.176633038,34365727.00661141,23217342.935813457,28835916.526096158,31975829.859206703,36516048.88330928,40706337.18661742,25088688.0,14454976.0,24325928.0,27728462.0,31962902.0,38244080.0,30212353.073308334,21320872.64432335,26983795.529834174,30675168.697364125,33841908.656269334,37338296.34081261
臺北市松山區南京東路五段２５０巷３６弄３４號六樓,25.04959001,121.567371,14499999.99999999,22155052.0,16841498.0,22685246.0,22894980.0,25624442.0,30041320.0,20289012.659031484,15227953.058930272,15247277.60536753,17529362.202971954,24220050.77005312,31276829.341633644,21350716.051155265,17051597.693151444,19238900.03108017,23183011.12746207,26600413.72987007,30148470.342725627,20645776.0,15375625.0,16163660.0,22863516.0,25295638.0,31563300.0,21110139.177546687,16124168.438020429,18333770.909111924,21617717.332608506,25435136.124980796,30757479.92108982
臺北市文山區興隆路四段１６５巷６１號,24.984585,121.564633,31500000.00000002,30372198.0,20603606.0,25386506.0,31524072.0,32003652.0,32976696.0,29987354.492816925,24518147.46399405,27000959.87724957,31378779.920602016,32618017.567166623,35058183.651336275,32565722.831880823,19843449.383740675,29122682.25438779,31488283.40800258,31532995.839934587,31898903.278780226,25866924.0,22446072.0,22626218.0,27197020.0,32047816.0,33539924.0,29698049.831174437,21852818.71193368,26034091.53290934,30397038.83215115,32050620.351775303,33368426.732529126
臺北市萬華區西藏路１１１號,25.02965998,121.503243,15097000.000000007,23093832.0,15812948.0,18486468.0,21384148.0,25497632.0,27531996.0,18474768.28769892,16289389.154143147,16694318.643067556,17804294.36055288,19683136.846717324,21802325.44042836,21965679.87247309,15376862.719867488,18927355.545498453,20979060.37001785,21627003.419048056,27752513.669861622,19282486.0,9699245.0,17201204.0,20392952.0,21676490.0,30164824.0,20704191.540043004,14294611.21850266,17827336.5471415,20140113.682642683,22121065.566441346,26812914.777572498
臺北市文山區和平東路四段９５號四樓,25.00520498,121.567831,4999999.999999999,5906787.5,3985340.0,5822153.0,6727742.0,9367092.0,12234994.0,6191427.683472147,4913187.278142211,5284544.534123208,5843381.948227824,6468994.509780009,8259111.230668021,5547972.360515834,4327282.423914102,4977787.966328145,6389281.88134516,8598685.776709972,10732428.15949129,5897916.0,5054902.0,5278037.0,6291155.5,9740161.0,12110433.0,5886025.8859969955,4570177.925514078,5340630.625112838,6312890.332393246,8543733.321622495,10834241.597539827
臺北市文山區萬寧街１３９號八樓之２,25.00339998,121.570125,8000000.000000002,8175672.5,4331747.0,7272259.5,8195665.0,9247568.0,10603380.0,8365243.936946058,5312742.376714619,7085025.541094783,8057715.722948589,9233982.957602471,10034677.079793904,8004904.033988853,6052810.530966362,7915840.003590165,8107657.778480879,9288796.130499514,9970876.946682252,9045900.0,5114931.5,7504658.5,7982240.0,10920120.0,11593143.0,8397930.117733728,5203057.851920245,7444445.886171237,8085819.625357367,9672616.772025496,10550519.25661904
