土地位置建物門牌,緯度,經度,actual_price,xgboost_qmean,xgboost_q0.1,xgboost_q0.25,xgboost_q0.5,xgboost_q0.75,xgboost_q0.9,rf_qmean,rf_q0.1,rf_q0.25,rf_q0.5,rf_q0.75,rf_q0.9,lgb_qmean,lgb_q0.1,lgb_q0.25,lgb_q0.5,lgb_q0.75,lgb_q0.9,nn_qmean,nn_q0.1,nn_q0.25,nn_q0.5,nn_q0.75,nn_q0.9,dnn_qmean,dnn_q0.1,dnn_q0.25,dnn_q0.5,dnn_q0.75,dnn_q0.9,cnn_qmean,cnn_q0.1,cnn_q0.25,cnn_q0.5,cnn_q0.75,cnn_q0.9,Ensemble_qmean,Ensemble_q0.1,Ensemble_q0.25,Ensemble_q0.5,Ensemble_q0.75,Ensemble_q0.9
臺北市文山區福興路８１之１號,25.00420402,121.549691,9920000.000000017,9855219.0,6795177.0,8716522.0,10542076.0,13936232.0,16948710.0,9856967.548971422,7808437.261835044,8967793.555396456,9999999.999999996,10800000.0,15124044.42545331,10207269.824053207,5858436.865439896,8780362.477739992,10616254.936370945,13583419.942435969,18115923.819138963,10430531.0,6842799.0,9240585.0,10950301.0,14472908.0,18438824.0,11640204.0,5815766.0,10031173.0,12098128.0,15724613.0,27333584.0,10472234.0,4917832.0,7484645.5,9918467.0,16652752.0,21936944.0,10410404.228837438,6339741.354545823,8870180.255522741,10687537.82272849,14194987.490405994,19649671.707432047
臺北市中山區新生北路三段６２巷２３之１號,25.06590899,121.526689,31999999.999999955,23099340.0,15657574.0,21625242.0,25665528.0,30742176.0,36119164.0,25985962.869891595,21102872.361582283,24165522.49080471,31999999.999999955,31999999.999999955,32992881.40315129,23625291.595256075,15613286.953965858,20427829.84563424,25341544.85965624,32735529.16452839,34706750.307853915,24427472.0,10443132.0,20313330.0,24013420.0,32222686.0,37626464.0,22683558.0,12533694.0,21334852.0,26801632.0,38137656.0,38718292.0,25310212.0,11914426.0,17588408.0,23756800.0,40692056.0,50809948.0,24188639.410857946,14544164.219258023,20909197.38940649,26263154.143276036,34421683.86075472,38495583.28516754
臺北市文山區政大二街２０７號五樓,24.98865553,121.5869132,20520000.0,21640716.0,19407308.0,19556874.0,20188262.0,23237876.0,30622322.0,21650498.10883278,16974394.59176772,19403132.076677464,19962424.702804733,20520000.0,22925955.766904984,20177047.30210328,18105900.859940976,19524379.8178649,20516664.82212529,24949393.105801657,26043485.673111077,24088608.0,10345965.0,21214416.0,27166794.0,30822846.0,36239996.0,24386692.0,17002166.0,23496914.0,24101384.0,36725490.0,39310244.0,22654546.0,13426957.0,17157330.0,19369330.0,27456532.0,33777460.0,22433017.901822675,15877115.24195145,20058840.982423726,21884143.254155003,27285356.184300274,31486577.240002677
臺北市文山區木柵路二段１０９巷１００弄７０號六樓,24.992733,121.561792,19599999.99999999,22140224.0,13893978.0,19318636.0,21565106.0,24282538.0,25939602.0,20976015.99818179,15961594.673481358,18411724.239424396,19599999.99999999,19599999.99999999,25969710.710495397,21049655.211300917,9357207.369419454,19654499.84834774,19952918.38404411,22285459.256045032,26577886.361859947,22052520.0,9642838.0,19338360.0,21409246.0,23482532.0,28035898.0,21673762.0,12100920.0,18101266.0,21793356.0,28200276.0,33842140.0,21845876.0,12588487.0,16161471.0,20931060.0,37554770.0,45097104.0,21623008.868247118,12257504.173816802,18497659.51462869,20875281.06400735,25900929.209340837,30910390.178725887
臺北市內湖區康寧路三段１８９巷１５９弄２５號,25.07524199,121.61178,35379999.99999994,29193174.0,27030806.0,28649120.0,34511590.0,39650910.0,54067620.0,27597582.437713288,24361928.617934003,28985142.788186703,35041974.83042363,35379999.99999994,39402979.83101043,29965347.935216364,18890071.427901573,29080250.888480004,35317714.61100258,40226295.95487434,48341307.16855277,32416186.0,25491408.0,28018256.0,35932400.0,42918840.0,56050224.0,32074418.0,22533148.0,31449842.0,36113104.0,50289212.0,54331650.0,29863362.0,11935556.0,17364012.0,24474202.0,51222424.0,60142864.0,30185011.728821605,21707153.007639263,27257770.612777784,33565164.240237705,43281280.32581238,52056107.4999272
臺北市大同區長安西路１３８巷５弄１號,25.05012498,121.517647,2185834.000000002,2318871.0,1397594.5,2045871.5,2252597.5,2507833.0,9230034.0,2241197.730328798,753591.0990015445,1608597.7981652652,2185834.0000000056,2290415.159966351,2568670.1404028013,1696572.735847806,530152.911800561,1967888.7120386409,2215167.002641765,2318399.930360897,3627765.8993377592,1860757.6,462476.2,2382080.0,2890258.5,3346146.5,7494853.0,1934155.0,353787.3,1607666.0,2704042.8,5091789.0,11700483.0,977844.56,581341.94,1170228.8,3310510.5,6422865.0,17125616.0,1838233.1043627674,679823.991800351,1797055.4683673177,2593068.3837736286,3662908.0983878747,8624570.33995676
臺北市中山區新生北路二段１３７巷４７號二樓,25.061302,121.529354,16600000.000000017,16263516.0,12488808.0,15771622.0,15914098.0,16569109.0,19088978.0,15588924.660138313,12748502.972309442,14899812.415214706,16600000.000000017,16600000.000000017,18383236.01064053,13602689.705714542,12186034.432486469,15632610.921145253,16025522.249693356,16372946.920205925,19212886.99797177,15426149.0,6657534.0,15893531.0,16246712.0,18772110.0,21763654.0,14731110.0,8753860.0,11841792.0,15658141.0,21086536.0,25944252.0,16133721.0,7439897.0,10813440.0,15830089.0,24859092.0,26232008.0,15291018.394308811,10045772.734132651,14142134.72272666,16045760.374948895,19043298.98670099,21770835.834768716
臺北市北投區西安街一段２８１巷９號二樓,25.11164799,121.516459,17999999.999999985,19594734.0,12176026.0,17613520.0,18131122.0,18380956.0,22419714.0,17542483.87522395,14501176.36173428,16069317.46621689,17999999.999999985,17999999.999999985,21750000.00000003,18943413.231465064,13835375.640617313,17238929.342353087,17993209.447155703,18979536.372568924,21111879.476972785,18258066.0,7327032.0,18000768.0,18800668.0,20129856.0,25251530.0,17809454.0,11619952.0,16067297.0,16546339.0,25523860.0,27649718.0,20726622.0,10419276.0,14854210.0,17795464.0,29870084.0,38690170.0,18812462.184448168,11646473.00039193,16640673.634761663,17877800.40785928,21814048.728761483,26145501.912828803
臺北市士林區芝玉路一段２２６號三樓之３,25.10892001,121.534295,63000000.00000008,49229784.0,39020700.0,48409360.0,62931636.0,63043130.0,70869940.0,56768198.79249205,40775104.66904543,53260509.35646465,63000000.00000008,63000000.00000008,68715331.31177557,51578900.58279477,42787027.78094089,56814896.94561714,62979387.53710996,63085544.05644145,63386149.992381774,47428420.0,36430444.0,37549036.0,52453636.0,66478310.0,87344600.0,43695276.0,25664844.0,41092800.0,46452910.0,59297344.0,66025040.0,53673268.0,22106678.0,32978520.0,50831080.0,86760980.0,105917830.0,50395641.22921447,34464133.07499772,45017520.38368031,56441441.589518346,66944218.009406924,77043148.5506929
臺北市大安區四維路１９２巷４號,25.02719612,121.5477207,21340000.0,16004870.0,7894467.5,13185301.0,16228904.0,21070412.0,23980556.0,16227732.462991264,11930594.223952524,14526923.456162017,20399264.69364693,21340000.0,22517709.242208976,15616100.12433974,10110440.032977512,13360734.756361978,16319402.934878323,20495748.883415885,24344255.25092747,18351250.0,7977681.5,14886231.0,16775008.0,22116336.0,26566546.0,15379760.0,8829832.0,12567424.0,16844840.0,23522832.0,30110846.0,15770629.0,8544376.0,12016876.0,13552750.0,24179796.0,24700006.0,16225056.931221833,9214565.20948834,13423915.035420666,16686694.938087543,22120854.14723598,25369986.41552274
臺北市內湖區康寧路三段１８９巷９１號,25.073059,121.612459,24500000.000000007,20965062.0,13266656.0,17640316.0,22119584.0,28084228.0,31188794.0,22410974.397058204,19286077.538800485,21698206.123824216,24147463.63502956,24500000.000000007,26632736.56189721,20422490.48912887,12910185.89870578,18223002.94694065,22052037.289495893,27274384.623622824,30132428.606538277,20216970.0,8762780.0,17198842.0,20713580.0,26100300.0,31408840.0,19142904.0,10574740.0,18144648.0,22352764.0,30108606.0,34521990.0,24040092.0,10298379.0,15049731.0,20387506.0,35458884.0,46455748.0,21199748.81436451,12516469.739584377,17992457.67846081,21962155.82075424,28587733.770603806,33390089.52807258
臺北市文山區福興路１９號二樓,25.00258702,121.551467,11000000.000000011,10789233.0,6986177.5,9893980.0,11055673.0,13255856.0,15682531.0,11289860.676791018,7294612.847734441,10244318.003991596,11000000.000000011,11000000.000000011,14084171.931066742,10520699.483011208,5736817.163835531,9235193.243107192,11105865.348353682,13619778.490348917,13976714.004021712,10588283.0,4461594.5,10766620.0,11858880.0,12372584.0,15513399.0,11660337.0,5209888.5,8794082.0,11799586.0,14994203.0,26588140.0,12615696.0,6147425.5,8879815.0,10925683.0,17600222.0,21131346.0,11244018.193300372,5972752.668594995,9635668.04118313,11290947.891392281,13807107.248391489,17829383.655848075
臺北市中山區林森北路１１９巷８１號二樓之３,25.05035,121.527739,10199999.999999983,9169846.0,6555737.5,8295800.5,9642322.0,10190404.0,10489746.0,8553668.307575034,7079035.202265946,8353644.858111508,10099504.938411089,10199999.999999983,10809474.06202892,8933356.644926226,7039404.545982992,8419640.532556009,10190607.867333312,10464288.059520354,10504103.720702268,9374385.0,5460781.0,7612240.5,9652406.0,12496146.0,13714310.0,9790954.0,6464572.5,6922898.5,9628833.0,19566090.0,26032040.0,9576706.0,3667950.0,5152350.0,8589540.0,13351442.0,16999702.0,9233152.65875021,6044580.124708156,7459429.1484445855,9633868.967624066,12711395.009920055,14758229.297121866
臺北市內湖區東湖路１１３巷４９弄１００號,25.07072401,121.615309,16099999.99999999,19483936.0,13123980.0,16072324.0,20235602.0,22007812.0,26638088.0,18432548.18804981,16043864.13072079,16768352.70775653,17020182.676940907,17560000.000000007,21070117.974026605,18804043.489746127,11704805.237918025,16276258.183972416,19665659.46862978,23334114.35020969,26149316.965281226,18942776.0,8738521.0,18539860.0,18609440.0,22784026.0,27286546.0,17319062.0,9907652.0,15484370.0,19824388.0,27048032.0,31867088.0,20440460.0,9814326.0,12888145.0,17373288.0,29353026.0,37293510.0,18903804.279632654,11555524.728106469,16004884.981954822,18788093.357595112,23681168.39170162,28384111.156551305
