土地位置建物門牌,總價元,單價元平方公尺,車位移轉總面積平方公尺,車位總價元,countycode,鄉鎮市區,交易標的,緯度,經度,村里,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,車位類別,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號,date,.id,t_mean_24h_idw,t_min_idw,t_max_idw,daily_rain_idw,count_anc_500m,count_clean_500m,count_cor_500m,count_cos_500m,count_uni_500m,count_fire_500m,count_gas_500m,count_inc_500m,count_lpg_500m,count_mall_500m,count_mart_500m,count_med_500m,count_nuc_500m,count_phar_500m,count_poli_500m,count_post_500m,count_simpmart_500m,count_temp_500m,count_died_500m,count_shop_500m,geometry,nearest_mrt_name,dist_to_mrt_meter,dist_to_rail_meter,dist_to_thsr_meter,house_age,aqi_idw
臺北市文山區萬美街二段５１號,19200000,105234,0,0,63000,文山區,房地(土地+建物)+車位,25.0050849118294,121.564542940615,興昌里,55.22,住,NA,NA,1130107,土地1建物1車位2,六層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,840830,182.45,3,2,2,有,有,坡道機械,NA,RPQOMLTLKHJGFAA77DA,138.36,2.15,13.25,有,NA,2024-01-07,848,17.18959276202920,16.672781347539400,17.62389904661470,0,0,0,0,0,0,1,0,0,1,0,3,0,0,0,1,1,1,0,1,4,"c(306983.21297902, 2766459.4453149)",臺北捷運辛亥站_BR05,769.4601723605140,5079.314390690460,6729.607185105040,29,65.4864442789284
臺北市文山區萬美街二段７７號,22680000,95225,32.81,2000000,63000,文山區,房地(土地+建物)+車位,25.0046211830362,121.563900635375,興昌里,133.62,住,NA,NA,1130103,土地1建物1車位1,三層，四層，五層，夾層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,790110,249.98,4,2,3,有,有,坡道平面,其他增建；,RPWOMLMLJHJGFAA57DA,191.63,9.25,11.04,有,NA,2024-01-03,849,14.391234066954400,11.535699395755400,16.82049724843820,12.301627791157700,0,0,0,0,0,1,0,0,1,0,3,0,0,0,1,0,1,0,1,4,"c(306918.593017756, 2766407.8103501)",臺北捷運辛亥站_BR05,706.3769852678760,5146.610737968660,6719.884431428360,34,55.18263627398210
臺北市文山區萬芳路６０之１０號,16500000,228532,0,0,63000,文山區,房地(土地+建物),24.9986430001439,121.568347989381,萬美里,37.23,NA,NA,NA,1130113,土地1建物1車位0,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,960921,72.2,2,1,1,有,有,NA,陽台外推；,RPRNMLRLKHJGFAA67EA,50.3,0,7.11,有,NA,2024-01-13,851,17.631798329614300,12.315810998470000,22.307613493408200,0,0,0,0,0,0,1,0,0,0,0,6,2,0,1,1,1,2,1,0,8,"c(307370.282521585, 2765747.50971557)",臺北捷運萬芳社區站_BR03,0.3912852238143670,5689.421103349000,7245.743748929280,17,34.88058708182200
臺北市文山區試院路１４４巷４弄３２號,6180000,136575,0,0,63000,文山區,房地(土地+建物),24.9905947805339,121.547830682969,華興里,15.86,住,NA,NA,1130103,土地7建物1車位0,一層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,840303,45.25,2,0,2,有,有,NA,平台增建其他增建；,RPXNMLLMJHJGFAA57DA,16.64,16.64,0,有,250,2024-01-03,852,14.705650148712200,11.985727584316300,17.077267218531100,11.868535578962700,0,0,0,0,1,0,0,0,0,1,9,6,0,4,1,2,0,4,0,9,"c(305302.780993183, 2764847.52305392)",臺北捷運景美站_G05,774.30094138706,6742.075199382640,7047.001246818390,29,56.22816094495550
臺北市文山區試院路１５４巷２弄２９號,9800000,98334,0,0,63000,文山區,房地(土地+建物),24.9910469842102,121.547903018793,華興里,29.2,住,NA,NA,1130131,土地2建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,700818,99.66,6,0,2,有,無,NA,其他增建；,RPUNMLLJLHJGFAA17DA,85.89,4.47,9.3,無,NA,2024-01-31,853,20.61781277546600,16.924457865108200,25.63069313265510,0,0,0,0,0,1,0,0,0,0,1,9,7,0,3,1,2,0,4,0,9,"c(305309.880980365, 2764897.64087243)",臺北捷運景美站_G05,764.2252243518400,6712.177495013640,7005.347377143690,43,60.63765780219780
臺北市文山區辛亥路五段７１之１號,14080000,214310,6.5,1500000,63000,文山區,房地(土地+建物)+車位,24.9982079793691,121.553285960831,興得里,12.38,住,NA,NA,1130114,土地1建物1車位1,四層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040318,65.2,2,1,1,有,有,塔式車位,陽台外推；夾層；,RPQNMLNLJHJGFAA96DA,32.5,1.34,4.24,有,319,2024-01-14,855,19.81757369455840,15.664903566443000,25.601495411274600,0,0,0,0,0,1,0,1,0,0,0,20,31,0,9,1,0,2,2,0,22,"c(305850.054222628, 2765693.03526237)",臺北捷運萬芳醫院站_BR04,465.49998415095800,6185.272112978470,6590.869359553740,9,35.573310401493700
臺北市文山區辛亥路四段７７巷９２弄１２號,28200000,134228,0,0,63000,文山區,房地(土地+建物)+車位,25.008174984254,121.561350022238,興昌里,109.91,住,NA,NA,1130108,土地1建物1車位1,五層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,831101,210.09,2,1,2,有,有,坡道平面,陽台外推；,RPPNMLPLJHJGFAA17EA,133.7,3.38,14.07,有,NA,2024-01-08,857,18.051945230515900,16.36088096074820,20.70248065386950,0,0,0,0,0,0,0,1,0,1,0,3,0,0,1,0,0,0,3,0,3,"c(306659.505410712, 2766800.3797065)",臺北捷運辛亥站_BR05,564.1267474920120,4854.42040113386,6259.85303206624,30,48.36857418807740
臺北市文山區辛亥路四段７７巷９２弄９號,11000000,79676,0,0,63000,文山區,房地(土地+建物)+車位,25.0087788165588,121.561219432187,興昌里,65.96,住,NA,NA,1130201,土地3建物1車位1,九層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,920922,138.06,1,1,1,有,有,坡道平面,親友、員工、共有人或其他特殊關係間之交易；,RPPOMLLJKHJGFAA66DA,62.61,0,11.51,有,13,2024-02-01,858,21.94149974772210,16.09936430199930,29.14027102381260,0,0,0,0,0,0,0,1,0,1,0,3,0,0,1,0,0,0,3,0,3,"c(306646.04714603, 2766867.20882715)",臺北捷運辛亥站_BR05,597.5814584667740,4796.554767019390,6203.796590142640,21,45.18930759438380
臺北市松山區三民路１０７巷７號,20500000,268044,0,0,63000,松山區,房地(土地+建物),25.0576420012199,121.56316696739,三民里,13.73,都市：其他:住宅用地(民生社區特定專用區) 但是否在道路用地(公共設施用地)(應依建築線或俟地籍測量分割後，再確定)。,NA,NA,1130116,土地1建物1車位0,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,660307,76.48,2,2,1,有,有,NA,NA,RPSOMLPJKHJGFDA67DA,54.12,0,4.08,有,NA,2024-01-16,859,16.925661754140000,15.429134774380800,18.279498162050400,0,1,0,0,0,0,0,1,0,0,0,36,51,0,18,1,1,1,0,0,37,"c(306820.112030995, 2772280.39218017)",臺北捷運南京三民站_G18,689.8344216477010,1784.7669419051300,4478.713621334580,47,55.008773005121800
臺北市松山區三民路１１３巷１３號,25000000,217316,0,0,63000,松山區,房地(土地+建物),25.0578510877946,121.562667741237,三民里,43.38,都市：其他:住宅用地(民生社區特定專用區)。,NA,NA,1130101,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,620108,115.04,4,2,2,有,無,NA,陽台外推；頂樓加蓋；,RPSNMLRKKHJGFDA97EA,105.94,0,9.1,無,NA,2024-01-01,860,16.889500941569200,15.898938742932200,17.7526778535475,0,1,0,0,0,0,0,1,0,0,0,37,51,0,18,1,1,1,0,0,38,"c(306769.645780851, 2772303.34228839)",臺北捷運南京三民站_G18,725.5290575352390,1839.8217216965800,4531.190747756580,51,92.58465199988380
臺北市松山區三民路１６６巷３３號,14600000,219516,0,0,63000,松山區,房地(土地+建物)+車位,25.062094007182,121.564300033061,富錦里,20.21,都市：其他:住宅用地(民生社區特定專用區)。,NA,NA,1130118,土地1建物1車位1,四層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,841019,66.51,2,1,1,有,有,坡道機械,NA,RPRNMLQJLHJGFDA77EA,34.75,0.72,3.44,有,NA,2024-01-18,861,20.575155452481200,17.308722441578200,26.423309702846200,0,1,0,0,0,0,0,1,0,0,0,30,36,0,9,1,1,0,0,0,30,"c(306932.376592316, 2772774.00023596)",臺北捷運南京三民站_G18,1164.5035180248800,2003.7435011914900,4442.960286725750,29,59.75097580204720
臺北市松山區三民路１６６巷５號,36080000,303704,0,0,63000,松山區,房地(土地+建物),25.0620549894227,121.563520013151,富錦里,38.55,都市：其他:住宅用地(民生社區特定專用區)。,NA,NA,1130102,土地1建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,750619,118.8,3,2,2,有,無,NA,其他增建；,RPSNMLKKJHJGFDA07DA,99.24,10.61,0,無,NA,2024-01-02,862,19.092255525513300,15.623784186293100,23.82843181967920,0,1,0,0,0,0,0,1,0,0,0,30,37,0,11,1,1,0,0,0,30,"c(306853.696548295, 2772769.35027574)",臺北捷運南京三民站_G18,1166.1246456875100,2056.759676844070,4518.997475913730,38,59.05217333820450
臺北市松山區三民路８０巷３號,51200000,229021,0,0,63000,松山區,房地(土地+建物)+車位,25.0565762841406,121.564083277045,自強里,48.25,住,NA,NA,1130123,土地1建物1車位1,三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,930914,223.56,4,2,2,有,有,坡道平面,其他增建：露台其他增建；,RPWNMLOJLHJGFDA97DA,116.2,0,13.05,有,NA,2024-01-23,863,8.917791754372960,7.776678690341970,9.884435037276150,9.266786903419750,1,0,0,0,0,0,1,0,0,0,34,52,0,14,1,1,1,0,0,35,"c(306913.056233399, 2772162.73202379)",臺北捷運南京三民站_G18,556.7696815421260,1645.0404936335300,4376.209825503130,20,38.0069019564661
