土地位置建物門牌,總價元,單價元平方公尺,車位移轉總面積平方公尺,車位總價元,countycode,鄉鎮市區,交易標的,緯度,經度,村里,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,車位類別,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號,date,.id,t_mean_24h_idw,t_min_idw,t_max_idw,daily_rain_idw,aqi_idw,towncode,MASTER_UP_rate,BACHELOR_UP_rate,Sex_ratio,popdense,Dependency_ratio,Old_ratio,count_anc_500m,count_clean_500m,count_cor_500m,count_cos_500m,count_uni_500m,count_fire_500m,count_gas_500m,count_inc_500m,count_lpg_500m,count_mall_500m,count_mart_500m,count_med_500m,count_nuc_500m,count_phar_500m,count_poli_500m,count_post_500m,count_simpmart_500m,count_temp_500m,count_died_500m,count_shop_500m,geometry,nearest_mrt_name,dist_to_mrt_meter,dist_to_rail_meter,dist_to_thsr_meter,house_age
臺北市文山區試院路１４４巷４弄１６號,7650000,122577,0,0,63000,文山區,房地(土地+建物),24.99070999,121.54777,華興里,21.88,住,NA,NA,1120104,土地7建物1車位0,一層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,840303,62.41,2,2,2,有,無,NA,其他增建；,RPUNMLSKJHIGFAA67DA,21.75,24.58,0,有,NA,2023-01-04,779,16.28023774,14.38545189,17.80165605,0.1379859465,30.00243687,63000080024,0.1766162669,0.5574817518,91.57,14071.09,45.03157194,26.5370555,0,0,0,0,1,0,0,0,0,1,10,7,0,4,1,2,0,4,0,10,"c(121.54776999799, 24.990709989793)",臺北捷運景美站_G05,763.9645858,6728.748528,7032.846368,28
臺北市文山區辛亥路四段７７巷９２弄９號六樓之６,10080000,190081,0,0,63000,文山區,房地(土地+建物),25.00877999,121.56122,興昌里,35.22,住,NA,NA,1120114,土地3建物1車位0,六層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,920922,53.03,1,1,1,無,有,NA,另有大安區辛亥段四小段615-1、615-2、762-1地號同一價格。,RPTNMLLLKHIGFAA07DA,34.47,0,3.33,有,NA,2023-01-14,782,22.73466782,18.78686975,27.64610488,2.799110475,47.71864355,63000080022,0.1857904696,0.5876483743,88.23,10962.8,41.49240589,26.78846577,0,0,0,0,0,0,1,0,1,0,3,0,0,1,0,0,0,3,0,3,"c(121.56122001892, 25.0087799900252)",臺北捷運辛亥站_BR05,597.7138254,4796.412199,6203.74893,20
臺北市松山區三民路１３６巷２６號二樓,6000000,159278,0,0,63000,松山區,房地(土地+建物),25.06042002,121.56369,富錦里,11.03,都市：其他:住宅用地(民生社區特定專用區) 但是否在道路用地(公共設施用地)(應依建築線或俟地籍測量分割後，再確定)。,NA,NA,1120220,土地1建物1車位0,二層，陽臺,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,610805,37.67,1,0,1,無,有,NA,含租約；,RPPNMLLJLHIGFDA86DA,37.67,0,0,有,NA,2023-02-20,783,15.07995908,14.08000394,15.961173,0,87.34208083,63000010006,0.1558207611,0.5870299482,84.13,49993.61,59.67999998,38.84799999,1,0,0,0,0,0,1,0,0,0,37,53,0,14,1,1,1,0,0,38,"c(121.563689998148, 25.0604200153893)",臺北捷運南京三民站_G18,984.236643,1922.782093,4467.979684,51
臺北市松山區三民路１３６巷３０號二樓,7400000,156019,0,0,63000,松山區,房地(土地+建物),25.06042002,121.56373,富錦里,14.19,都市：其他:住宅用地(民生社區特定專用區) 但是否在道路用地(公共設施用地)(應依建築線或俟地籍測量分割後，再確定)。,NA,NA,1120220,土地1建物1車位0,二層，陽臺,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,610805,47.43,1,0,1,無,有,NA,NA,RPQNMLLJLHIGFDA96DA,47.43,0,0,有,NA,2023-02-20,784,15.08011376,14.0801092,15.96145016,0,87.34372336,63000010006,0.1558207611,0.5870299482,84.13,49993.61,59.67999998,38.84799999,1,0,0,0,0,0,1,0,0,0,37,53,0,14,1,1,1,0,0,38,"c(121.563729979826, 25.0604200153893)",臺北捷運南京三民站_G18,983.7940427,1919.703727,4464.004198,51
臺北市松山區三民路１３８號,25000000,385802,0,0,63000,松山區,房地(土地+建物),25.06060999,121.56341,富錦里,46,都市：其他:住宅用地(民生社區特定專用區) 但是否在道路用地(公共設施用地)(應依建築線或俟地籍測量分割後，再確定)。,NA,NA,1120218,土地1建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,591218,64.8,0,0,1,無,無,NA,NA,RPUNMLLJLHIGFDA37DA,64.8,0,0,無,NA,2023-02-18,785,20.26133798,15.60990174,26.70097816,0,58.53200287,63000010006,0.1558207611,0.5870299482,84.13,49993.61,59.67999998,38.84799999,1,0,0,0,0,0,1,0,0,0,36,51,0,14,1,1,1,0,0,37,"c(121.563409958763, 25.0606099912248)",臺北捷運南京三民站_G18,1008.633354,1957.945543,4499.42097,53
臺北市松山區三民路１６７巷４號二樓,15800000,242294,0,0,63000,松山區,房地(土地+建物),25.06170999,121.56283,三民里,28.12,都市：其他:住宅用地(民生社區特定專用區) 但是否在道路用地(公共設施用地)(應依建築線或俟地籍測量分割後，再確定)。,NA,NA,1120129,土地1建物1車位0,二層，陽臺,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,630917,65.21,2,1,1,無,無,NA,NA,RPSNMLLJLHIGFDA17DA,65.21,0,0,無,NA,2023-01-29,786,13.41659072,11.05772428,16.2982401,0,55.60048436,63000010004,0.174255392,0.6131461828,83.13,48022.01,58.28025476,40.10289073,1,0,0,0,0,0,1,0,0,0,32,43,0,13,1,1,0,0,0,32,"c(121.562830014882, 25.061709990288)",臺北捷運松山機場站_BR13,1109.404125,2081.978146,4579.452017,49
臺北市松山區三民路７４巷３號七樓之３,26280000,229159,0,0,63000,松山區,房地(土地+建物),25.05583,121.56407,自強里,26.92,住,NA,NA,1120111,土地1建物1車位0,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,810413,114.68,3,2,1,無,有,NA,NA,RPPPMLRJLHIGFDA67DA,76.29,0,6.58,有,NA,2023-01-11,787,20.17378007,18.68413247,21.4500274,0,31.92465289,63000010021,0.1882114849,0.6056159879,86.89,55788.87,52.49518472,35.86061985,1,0,0,0,0,0,1,0,0,0,41,47,0,13,1,1,2,0,0,43,"c(121.564070033638, 25.0558300013914)",臺北捷運南京三民站_G18,475.0820852,1606.837281,4372.054694,31
臺北市松山區三民路８０巷３號四樓之１,49500000,221417,0,0,63000,松山區,房地(土地+建物)+車位,25.05657,121.56408,自強里,48.25,住,NA,NA,1120204,土地1建物1車位1,四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,930914,223.56,4,2,2,無,有,坡道平面,NA,RPUNMLMJLHIGFDA47DA,116.2,0,13.05,有,NA,2023-02-04,788,17.12476082,15.88373212,18.24453796,0,34.20212861,63000010021,0.1882114849,0.6056159879,86.89,55788.87,52.49518472,35.86061985,1,0,0,0,0,0,1,0,0,0,34,52,0,14,1,1,1,0,0,35,"c(121.564080008103, 25.0565699977132)",臺北捷運南京三民站_G18,556.1207261,1644.981731,4376.485978,19
臺北市松山區健康路３２５巷２３號四樓,22200000,221270,0,0,63000,松山區,房地(土地+建物),25.05624,121.56704,鵬程里,31.28,住,NA,NA,1120113,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,751020,100.33,2,2,1,無,無,NA,NA,RPRNMLOLKHIGFDA57EA,80.76,0,10.97,無,NA,2023-01-13,789,22.79665056,18.90502521,28.14370253,0,69.16669798,63000010020,0.1449768913,0.5543663342,88.39,36663.83,44.82023155,31.87081047,1,0,0,0,0,0,2,0,0,0,36,30,0,7,0,1,2,0,0,38,"c(121.56703999339, 25.0562400021852)",臺北捷運南京三民站_G18,563.2859138,1372.395151,4075.943715,37
臺北市松山區光復北路２１０巷３５號,29180000,244984,0,0,63000,松山區,房地(土地+建物),25.05532,121.55369,龍田里,23.83,住,NA,NA,1120109,土地3建物1車位0,一層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,910307,119.12,2,2,1,無,有,NA,NA,RPVRMLOJJHIGFDA08EA,63.84,1.2,8.48,有,NA,2023-01-09,790,20.45815675,17.77166102,24.41552655,3.664495719,72.37071518,63000010012,0.2229391478,0.6739348092,87.07,48413.54,59.71275206,28.11547947,1,1,0,0,0,0,0,0,0,0,41,47,0,8,1,2,1,1,1,42,"c(121.553689968564, 25.0553200044927)",臺北捷運台北小巨蛋站_G17,476.5843478,2567.920034,3799.385712,21
