土地位置建物門牌,總價元,單價元平方公尺,車位移轉總面積平方公尺,車位總價元,countycode,鄉鎮市區,交易標的,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,車位類別,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號,lat,lng,nomi_address,村里,date,.id,t_mean_24h_idw,t_min_idw,t_max_idw,daily_rain_idw,aqi_idw,towncode,MASTER_UP_rate,BACHELOR_UP_rate,Sex_ratio,popdense,Dependency_ratio,Old_ratio,count_anc_500m,count_clean_500m,count_cor_500m,count_cos_500m,count_uni_500m,count_fire_500m,count_gas_500m,count_inc_500m,count_lpg_500m,count_mall_500m,count_mart_500m,count_med_500m,count_nuc_500m,count_phar_500m,count_poli_500m,count_post_500m,count_simpmart_500m,count_temp_500m,count_died_500m,count_shop_500m,geometry,nearest_mrt_name,dist_to_mrt_meter,dist_to_rail_meter,dist_to_thsr_meter,house_age
臺北市內湖區康寧路三段２５號七樓,37300000,300288,19.81,1800000,63000,內湖區,房地(土地+建物)+車位,29.51,住,NA,NA,1130815,土地1建物1車位1,七層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,961121,138.02,3,2,2,有,有,坡道機械,陽台外推；,RPUPMLKMQHJGFCA28DA,74.94,3.9,7.34,有,NA,25.072817017823800,121.60729902871300,"25號, 康寧路三段, 金湖里, 內湖區, 五分, 臺北市, 114, 臺灣",金湖里,2024-08-15,457,27.45812243001900,26.287559056930700,31.063861609226500,27.412671316011600,30.996777035779000,63000100034,0.204846072808147,0.6619454524171840,86.44,12620.93,45.88874588,22.16502216,0,0,0,0,1,0,1,0,0,0,19,21,0,5,0,1,0,0,0,19,"c(121.607299028713, 25.0728170178238)",臺北捷運葫洲站_BR21,38.44454955629030,2131.9548464238700,2131.399900633430,17
臺北市內湖區康寧路三段２６７號五樓,14300000,178996,0,0,63000,內湖區,房地(土地+建物),24.29,住,NA,NA,1130709,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,730801,79.89,3,2,1,有,無,NA,陽台外推；頂樓加蓋；,RPPPMLTKQHJGFCA48DA,74.82,0,5.07,無,NA,25.066367981520700,121.61120097227900,"267號, 康寧路三段, 五分里, 內湖區, 五分, 臺北市, 114, 臺灣",五分里,2024-07-09,458,29.534627899443700,24.95915402987070,35.840131890815200,0.18001537123150100,33.10397658039370,63000100022,0.1128210931311530,0.4722190788729210,89.08,36827.08,49.29039301,20.59224891,0,0,0,0,0,1,1,1,0,0,22,17,0,4,1,0,0,1,0,22,"c(121.611200972279, 25.0663679815207)",臺北捷運東湖站_BR22,99.3291640115698,1470.4244137835000,1469.8894063850100,40
臺北市內湖區康寧路三段５２號三樓,22000000,203365,0,0,63000,內湖區,房地(土地+建物),34.39,住,NA,NA,1130708,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,780609,108.18,3,2,2,有,無,NA,親友、員工、共有人或其他特殊關係間之交易；,RPSNMLKMQHJGFCA87DA,83.42,2.8,8.69,無,NA,25.07175700043880,121.60883098915600,"50嵐, 康寧路三段, 葫洲里, 內湖區, 五分, 臺北市, 11485, 臺灣",葫洲里,2024-07-08,459,28.764684082227000,23.619735342148300,34.8105481092479,42.12464224267480,33.50707050266990,63000100018,0.17266419235113800,0.6031950944005160,89.25,31703.53,47.28743341,22.25290984,0,0,0,0,1,0,1,0,0,0,22,24,0,7,0,1,1,0,0,23,"c(121.608830989156, 25.0717570004388)",臺北捷運葫洲站_BR21,165.97358839237000,2020.2208879927500,2019.667503144000,35
臺北市內湖區康寧路三段５６巷１５８號五樓,58000000,205506,0,5000000,63000,內湖區,房地(土地+建物)+車位,42.02,住,NA,NA,1130710,土地1建物1車位2,五層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010801,282.23,3,2,2,有,有,坡道平面,NA,RPTOMLOJRHJGFCA28DA,111.76,11.37,13.04,有,746,25.06725000919180,121.6087250419000,"137號, 康寧路三段70巷, 南湖里, 內湖區, 五分, 臺北市, 114, 臺灣",南湖里,2024-07-10,460,28.83118512436580,26.455531109530000,34.62684265812290,71.2610129124708,35.18499627948800,63000100040,0.1994575422491130,0.641143334028792,88.14,15567.73,45.9391501,20.51797837,0,0,0,0,0,1,2,1,0,0,9,10,0,2,1,0,0,0,0,9,"c(121.6087250419, 25.0672500091918)",臺北捷運東湖站_BR22,302.45294843622600,1521.8294552878100,1521.276888127290,12
臺北市內湖區康寧路三段７０巷１７５號五樓,7610000,51719,0,0,63000,內湖區,房地(土地+建物),28.44,住,NA,NA,1130709,土地1建物1車位0,五層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,811202,147.14,3,2,2,有,有,NA,親友、員工、共有人或其他特殊關係間之交易；,RPUNMLPJQHJGFCA28DA,78.8,3.56,10.45,有,NA,25.066743993697100,121.60758996457200,"175號, 康寧路三段70巷, 南湖里, 內湖區, 五分, 臺北市, 114, 臺灣",南湖里,2024-07-09,461,29.535597127411400,24.92158803480090,35.78610704652370,0.21470955940077800,32.99344016034710,63000100040,0.1994575422491130,0.641143334028792,88.14,15567.73,45.9391501,20.51797837,0,0,0,0,0,0,2,1,0,0,4,1,0,0,0,0,0,0,0,4,"c(121.607589964572, 25.0667439936971)",臺北捷運東湖站_BR22,418.8668468384030,1459.4916684212300,1458.9368116708700,32
臺北市內湖區康寧路三段７５巷２４弄５１之１號,11800000,323554,0,0,63000,內湖區,房地(土地+建物),10.69,都市：其他:第三種住宅區。,NA,NA,1130706,土地2建物1車位0,一層,三層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,790607,36.47,1,1,1,有,無,NA,陽台外推；,RPVNMLKMPHJGFCA08DA,33.42,3.05,0,無,628,25.07418800381670,121.61009900346900,"49號, 康寧路三段75巷24弄, 康寧里, 內湖區, 五分, 臺北市, 114, 臺灣",康寧里,2024-07-06,462,30.18046257290140,27.328554988692800,34.45006649044010,5.66949656552879,37.84221792203390,63000100035,0.15118761676007500,0.5572457966373100,91.29,35523.26,46.8847608,23.19579155,0,0,0,0,1,0,1,0,0,0,18,17,0,5,0,1,1,0,0,19,"c(121.610099003469, 25.0741880038167)",臺北捷運葫洲站_BR21,332.39404249239300,2300.8383240333900,2300.2874838618100,34
臺北市內湖區康樂街１３６巷１５弄２０號五樓,11900000,124751,0,0,63000,內湖區,房地(土地+建物),26.79,住,NA,NA,1130715,土地3建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,721103,95.39,3,2,2,有,無,NA,NA,RPUNMLKMPHJGFCA08EA,86.14,0,9.25,無,338,25.07241699149480,121.61818896495700,"20號, 康樂街136巷15弄, 樂康里, 內湖區, 五分, 臺北市, 114, 臺灣",樂康里,2024-07-15,464,32.17450058835150,29.16863119240510,36.085460825857800,0,18.13720019453980,63000100024,0.10436746987951800,0.4769578313253010,90.04,45267.97,46.81576951,25.85291887,0,0,0,0,0,0,0,0,0,0,21,18,0,5,1,1,1,0,0,22,"c(121.618188964957, 25.0724169914948)",臺北捷運東湖站_BR22,876.8710949569420,2357.665983959580,2357.174598530380,41
臺北市內湖區康樂街１３６巷２號五樓,1660000,107304,0,0,63000,內湖區,房地(土地+建物),4.42,都市：其他:第三種住宅區。,NA,NA,1130827,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,740401,15.47,3,2,1,有,無,NA,其他 顧問費:66600元；親友、員工、共有人或其他特殊關係間之交易；瑕疵物件；,RPQNMLMKRHJGFCA77DA,13.92,0,1.55,無,NA,25.07183952027550,121.61908825934800,"2號, 康樂街136巷, 樂康里, 內湖區, 五分, 臺北市, 114, 臺灣",樂康里,2024-08-27,466,32.107006362568400,28.316595267033600,36.53986124274330,0,56.540528552028000,63000100024,0.10436746987951800,0.4769578313253010,90.04,45267.97,46.81576951,25.85291887,0,0,0,0,0,0,1,0,0,0,22,20,0,6,1,1,1,0,0,23,"c(121.619088259348, 25.0718395202755)",臺北捷運東湖站_BR22,908.1482517227430,2345.77473136532,2345.295988229900,39
臺北市內湖區康樂街１３６巷２９弄４７號五樓,17500000,159788,0,0,63000,內湖區,房地(土地+建物),28.68,住,NA,NA,1130708,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,750616,109.52,3,2,2,有,無,NA,於民國78年間增建頂樓頂樓加蓋；,RPRNMLMJRHJGFCA87EA,89.19,0,10.25,無,NA,25.07314001446270,121.61792401299700,"45號, 康樂街136巷29弄, 樂康里, 內湖區, 五分, 臺北市, 114, 臺灣",樂康里,2024-07-08,467,27.935745150710100,22.792537506425900,33.47182557545880,37.31807938849060,33.78102303698790,63000100024,0.10436746987951800,0.4769578313253010,90.04,45267.97,46.81576951,25.85291887,0,0,0,0,0,0,0,0,0,0,19,11,0,3,1,0,1,0,0,20,"c(121.617924012997, 25.0731400144627)",臺北捷運東湖站_BR22,913.7519983443990,2416.9249107339300,2416.4271835841700,38
臺北市內湖區康樂街１５１巷９之１號,16500000,240911,0,0,63000,內湖區,房地(土地+建物),18.5,住,NA,NA,1130726,土地1建物1車位0,一層,七層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,830707,68.49,2,1,1,有,無,NA,其他增建；,RPXNMLNLQHJGFCA58DA,47.97,5.03,0,無,NA,25.07177497962110,121.61989401170000,"樂康里, 內湖區, 五分, 臺北市, 11480, 臺灣",樂康里,2024-07-26,469,28.1570900176678,26.347237449780400,30.07712061170280,5.172508345714220,27.979492569127500,63000100024,0.10436746987951800,0.4769578313253010,90.04,45267.97,46.81576951,25.85291887,0,0,0,0,0,0,0,0,0,0,22,15,0,6,1,1,2,0,0,24,"c(121.6198940117, 25.0717749796211)",臺北捷運東湖站_BR22,972.0041582330150,2381.8631199887500,2381.393296108210,30
