土地位置建物門牌,總價元,單價元平方公尺,車位移轉總面積平方公尺,車位總價元,countycode,鄉鎮市區,交易標的,緯度,經度,村里,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,count_floor,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,車位類別,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號,date,.id,t_mean_24h_idw,t_min_idw,t_max_idw,daily_rain_idw,aqi_idw,towncode,MASTER_UP_rate,BACHELOR_UP_rate,Sex_ratio,popdense,Dependency_ratio,Old_ratio,count_anc_500m,count_clean_500m,count_cor_500m,count_cos_500m,count_uni_500m,count_fire_500m,count_gas_500m,count_inc_500m,count_lpg_500m,count_mall_500m,count_mart_500m,count_med_500m,count_nuc_500m,count_phar_500m,count_poli_500m,count_post_500m,count_simpmart_500m,count_temp_500m,count_died_500m,count_shop_500m,geometry,nearest_mrt_name,dist_to_mrt_meter,dist_to_rail_meter,dist_to_thsr_meter,house_age,time_index
臺北市中山區天祥路１６巷１５號,10000000.0,217675.0,0.0,0.0,63000,中山區,房地(土地+建物),25.0613349839399,121.520498973094,集英里,8.87,商,,,1120724,土地1建物1車位0,七層，走廊,7,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,600108,45.94,1,1,1,有,有,,親友、員工、共有人或其他特殊關係間之交易；,RPUPMLMLQHIGFCA28DA,39.95,0.0,0.0,有,,2023-07-24,39,30.8938106877046,27.2895996391956,34.4711846017322,0.0,26.1985260206369,63000040008,0.129278830176138,0.514955134596211,80.54,19971.22,54.2440318182484,33.0238726717454,0,0,0,0,0,0,0,0,0,0,54,76,0,8,0,2,0,9,0,54,"c(121.520498973094, 25.0613349839399)",臺北捷運民權西路站_O11_R13,173.50178685146,1604.59056417896,1554.61531275504,52,3
臺北市中山區天祥路４８巷５號,2500000.0,242483.0,0.0,0.0,63000,中山區,房地(土地+建物),25.0619389838828,121.520665018596,集英里,6.54,住,,,1120720,土地2建物1車位0,一層,1,三層,公寓(5樓含以下無電梯),住家用,加強磚造,561112,10.31,2,1,1,有,無,,親友、員工、共有人或其他特殊關係間之交易；,RPQNMLLMPHIGFCA67EA,10.31,0.0,0.0,無,,2023-07-20,40,29.3265566749665,26.963265188916,34.3544231197812,28.9145895823504,43.4779491650639,63000040008,0.129278830176138,0.514955134596211,80.54,19971.22,54.2440318182484,33.0238726717454,1,0,0,0,0,0,0,0,0,0,55,68,0,7,0,3,0,7,0,55,"c(121.520665018596, 25.0619389838828)",臺北捷運民權西路站_O11_R13,140.487953847913,1673.43727936202,1623.57626500253,56,3
臺北市中山區安東街１９號,17300000.0,276844.0,0.0,0.0,63000,中山區,房地(土地+建物),25.0451709865803,121.542384038466,埤頭里,12.56,住,,,1120808,土地1建物1車位0,二層,2,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,700905,62.49,3,1,1,有,有,,陽台外推；其他增建；,RPOPMLSKQHIGFCA18DA,40.21,0.0,6.76,有,146.0,2023-08-08,41,30.9811421644529,29.5346585236975,34.1268747968025,0.0,43.0308109420263,63000040037,0.14668498797664,0.517347990381312,92.0,17806.88,51.0175106242227,37.7662091633856,0,0,0,0,0,2,1,0,0,5,46,97,0,20,1,2,1,2,0,47,"c(121.542384038466, 25.0451709865803)",臺北捷運南京復興站_BR11_G16,780.08705505607,2704.38970325864,2577.91037146472,42,3
臺北市中山區建國北路三段７４號,14100000.0,203816.0,0.0,0.0,63000,中山區,房地(土地+建物),25.0655670068532,121.535876999393,行政里,10.04,住,,,1120704,土地2建物1車位0,九層,9,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,750411,69.18,2,1,1,有,有,,,RPRPMLRJPHIGFCA18DA,59.2,1.32,4.55,有,,2023-07-04,45,31.139890311125,26.9600042772832,35.8061430574587,0.0,27.9948401912534,63000040024,0.084996191926885,0.396953541507997,104.76,39530.96,50.3624733368097,39.9786780298553,0,1,0,0,0,1,1,0,0,0,34,25,0,5,1,1,2,3,3,36,"c(121.535876999393, 25.0655670068532)",臺北捷運行天宮站_O09,636.11683014664,2852.47756645252,2750.21058715565,37,3
臺北市中山區建國北路二段３５號,2500000.0,75143.0,0.0,0.0,63000,中山區,房地(土地+建物),25.0552930147645,121.53726495874,朱馥里,3.57,住,,,1120718,土地5建物1車位0,二層,2,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,770524,33.27,0,0,1,有,有,,親友、員工、共有人或其他特殊關係間之交易；,RPTNMLLJQHIGFCA77EA,18.66,0.28,5.77,有,,2023-07-18,47,29.2129786108227,27.5584506916689,33.2105544559579,8.76409781191099,37.0447845714286,63000040034,0.12900641025641,0.500200320512821,84.58,31361.42,51.9241047429385,33.4045964635477,1,1,0,0,0,0,0,0,0,0,53,41,0,10,1,1,0,1,0,53,"c(121.53726495874, 25.0552930147645)",臺北捷運松江南京站_G15_O08,548.042143002486,2339.31333972875,2213.73638854697,35,3
臺北市中山區復興南路一段３４號,28950000.0,251041.0,0.0,0.0,63000,中山區,房地(土地+建物),25.0462910183921,121.54368398783,埤頭里,12.72,商,,,1120706,土地3建物1車位0,九層,9,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,690310,115.32,2,2,1,有,有,,,RPROMLRLPHIGFCA28DA,97.79,0.0,0.0,有,,2023-07-06,50,32.2758686962011,28.3469109635021,36.0481698058534,0.0,31.1010763684112,63000040037,0.14668498797664,0.517347990381312,92.0,17806.88,51.0175106242227,37.7662091633856,0,0,0,0,0,2,2,0,0,1,44,74,0,20,2,2,0,4,0,44,"c(121.54368398783, 25.0462910183921)",臺北捷運南京復興站_BR11_G16,638.111964461659,2826.27368012417,2698.49262881512,43,3
臺北市中山區德惠街１６號,7600000.0,193483.0,0.0,0.0,63000,中山區,房地(土地+建物),25.0665999926005,121.524067987466,晴光里,3.8,商,,,1120731,土地1建物1車位0,八層,8,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,710419,39.28,1,1,1,有,有,,陽台外推；其他增建；,RPPNMLQJQHIGFCA77DA,28.02,0.0,3.02,有,,2023-07-31,51,29.2855675365288,26.7183270225818,31.8084190461929,0.0,25.4179245779878,63000040011,0.143032034278719,0.515405019383799,73.13,49418.72,48.326015354466,34.49506036375,0,0,0,0,1,0,0,0,0,0,31,34,0,10,0,1,0,2,0,31,"c(121.524067987466, 25.0665999926005)",臺北捷運中山國小站_O10,500.161489078003,2275.35655389391,2215.28139227481,41,3
臺北市中山區德惠街１８１號,10000000.0,170300.0,0.0,0.0,63000,中山區,房地(土地+建物),25.0666649942597,121.532231961159,新喜里,23.25,住,,,1120720,土地1建物1車位0,三層,3,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,610905,58.72,2,1,1,有,無,,親友、員工、共有人或其他特殊關係間之交易；,RPOOMLOLQHIGFCA77DA,58.72,0.0,0.0,無,,2023-07-20,52,29.4546524012464,26.9797002237688,34.3177280965569,26.8151363620625,39.1335758040836,63000040018,0.101929625425653,0.451986379114642,87.16,44405.84,46.5439178851362,32.9610624711859,1,1,0,0,0,2,1,0,0,0,38,27,0,6,1,1,2,3,0,40,"c(121.532231961159, 25.0666649942597)",臺北捷運行天宮站_O09,693.461110759373,2697.39754084834,2606.48067358861,51,3
臺北市中山區德惠街３２號,12000000.0,160793.0,0.0,0.0,63000,中山區,房地(土地+建物),25.0665820134182,121.526014013927,晴光里,9.3,商,,,1120707,土地1建物1車位0,三層,3,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,660606,74.63,2,2,2,有,有,,,RPXOMLOJQHIGFCA48DA,62.02,0.0,0.0,有,583.0,2023-07-07,53,32.778654655526,29.2554789062936,36.65364663764311,0.0,43.035278163567504,63000040011,0.143032034278719,0.515405019383799,73.13,49418.72,48.326015354466,34.49506036375,1,0,0,0,1,1,0,0,0,0,39,28,0,12,0,1,1,3,0,40,"c(121.526014013927, 25.0665820134182)",臺北捷運中山國小站_O10,425.99271270151104,2353.43350061165,2284.37240008289,46,3
臺北市中山區德惠街４５號,6630000.0,237380.0,0.0,0.0,63000,中山區,房地(土地+建物),25.0667429878687,121.526995031874,圓山里,3.0,商,,,1120717,土地1建物1車位0,九層,9,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,681215,28.42,0,0,0,無,有,,陽台外推；,RPVOMLKLPHIGFCA97DA,19.51,0.0,2.91,有,450.0,2023-07-17,55,31.18896978394,29.1098788829865,35.1048681387344,0.467464372884704,30.4774731199012,63000040012,0.1224771910423,0.487420514238319,81.16,6501.12,47.6956839620718,32.2970007197158,1,0,0,0,1,1,0,0,0,0,41,29,0,11,0,1,1,3,0,42,"c(121.526995031874, 25.0667429878687)",臺北捷運中山國小站_O10,438.409084328718,2414.52164795191,2341.6958336959,44,3
臺北市中山區撫順街４１巷３號,11500000.0,211825.0,0.0,0.0,63000,中山區,房地(土地+建物),25.0642119883859,121.519351993464,集英里,9.77,商,,,1120807,土地1建物1車位0,六層,6,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,711223,54.29,2,1,1,有,有,,加裝鐵窗,RPWNMLLLQHIGFCA18DA,37.5,0.0,0.0,有,66.0,2023-08-07,56,32.3456023563516,29.4477604737729,36.150084225449696,0.0,48.4501977833075,63000040008,0.129278830176138,0.514955134596211,80.54,19971.22,54.2440318182484,33.0238726717454,1,1,0,0,1,0,0,0,0,0,36,45,0,4,0,2,0,7,0,36,"c(121.519351993464, 25.0642119883859)",臺北捷運民權西路站_O11_R13,180.054943302539,1884.91793470957,1847.80800282665,41,3
